"","종목코드","종목명","시장구분","산업분류","현재가.종가.","전일대비","시가총액.원.","일자","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물..일련번호","총카운트"
"1","005930","삼성전자","코스피","전기전자",59500,-500,355202061725000,"2020-10-16","-",59500,"3,166","18.79","37,528","1.59",1416,2.38,2159,NA
"2","000660","SK하이닉스","코스피","전기전자",85300,-1800,62098601734500,"2020-10-16","-",85300,"2,943","28.98","65,836","1.3",1000,1.17,2114,NA
"3","035420","NAVER","코스피","서비스업",293500,1000,48211306432500,"2020-10-16","-",293500,"4,006","73.27","35,223","8.33",376,0.13,2240,NA
"4","207940","삼성바이오로직스","코스피","의약품",687000,-17000,4.5455355e+13,"2020-10-16","-",687000,"3,067","224","65,812","10.44",0,0,2303,NA
"5","051910","LG화학","코스피","화학",640000,3000,45179099520000,"2020-10-16","-",640000,"4,085","156.67","217,230","2.95",2000,0.31,2252,NA
"6","005380","현대차","코스피","운수장비",172000,-4000,36750928164000,"2020-10-16","-",172000,"11,310","15.21","253,001","0.68",4000,2.33,2154,NA
"7","068270","셀트리온","코스피","의약품",256500,1500,34625893797000,"2020-10-16","-",256500,"2,236","114.71","20,795","12.33",0,0,2260,NA
"8","035720","카카오","코스피","서비스업",357500,-4500,31548595292500,"2020-10-16","-",357500,"-","-","60,603","5.9",127,0.04,2241,NA
"9","006400","삼성SDI","코스피","전기전자",420000,-9000,28881102600000,"2020-10-16","-",420000,"5,331","78.78","175,114","2.4",1000,0.24,2166,NA
"10","051900","LG생활건강","코스피","화학",1571000,2000,24536187487000,"2020-10-16","-",1571000,"46,431","33.84","234,042","6.71",11000,0.7,2251,NA
"11","012330","현대모비스","코스피","운수장비",229000,-5500,21767524926000,"2020-10-16","-",229000,"24,234","9.45","339,207","0.68",4000,1.75,2198,NA
"12","000270","기아차","코스피","운수장비",47150,-1750,19112881811050,"2020-10-16","-",47150,"4,556","10.35","71,487","0.66",1150,2.44,2112,NA
"13","028260","삼성물산","코스피","유통업",102000,-500,19062482262000,"2020-10-16","-",102000,"6,366","16.02","125,948","0.81",2000,1.96,2226,NA
"14","017670","SK텔레콤","코스피","통신업",234500,0,18934869229500,"2020-10-16","-",234500,"12,144","19.31","284,310","0.82",10000,4.26,2209,NA
"15","005490","POSCO","코스피","철강금속",202000,-3000,17611740670000,"2020-10-16","-",202000,"22,823","8.85","510,076","0.4",10000,4.95,2156,NA
"16","036570","엔씨소프트","코스피","서비스업",767000,17000,16838734874000,"2020-10-16","-",767000,"17,387","44.11","113,836","6.74",5220,0.68,2243,NA
"17","105560","KB금융","코스피","금융업",39400,350,16382832048000,"2020-10-16","-",39400,"8,451","4.66","92,672","0.43",2210,5.61,2283,NA
"18","066570","LG전자","코스피","전기전자",89900,-1500,14711938478600,"2020-10-16","-",89900,"169","531.95","79,245","1.13",750,0.83,2259,NA
"19","015760","한국전력","코스피","전기가스업",21750,450,13962718674750,"2020-10-16","-",21750,"-","-","105,140","0.21",0,0,2206,NA
"20","034730","SK","코스피","금융업",198000,-2000,13931338806000,"2020-10-16","-",198000,"12,917","15.33","235,255","0.84",5000,2.53,2238,NA
"21","018260","삼성에스디에스","코스피","서비스업",173500,6000,13425048300000,"2020-10-16","-",173500,"9,521","18.22","84,595","2.05",2400,1.38,2212,NA
"22","055550","신한지주","코스피","금융업",27950,-100,13343241538250,"2020-10-16","-",27950,"7,000","3.99","79,682","0.35",1850,6.62,2254,NA
"23","091990","셀트리온헬스케어","코스닥","유통",87800,-100,13324494811600,"2020-10-16","-",87800,"435","201.84","11,029","7.96",0,0,1272,NA
"24","096770","SK이노베이션","코스피","화학",139000,-2000,12852713396000,"2020-10-16","-",139000,"-","-","186,398","0.75",3000,2.16,2280,NA
"25","003550","LG","코스피","금융업",72000,-1400,12424113432000,"2020-10-16","-",72000,"6,143","11.72","107,050","0.67",2200,3.06,2139,NA
"26","326030","SK바이오팜","코스피","서비스업",153500,1500,12021083875000,"2020-10-16","-",153500,"-","-","-","-",0,0,2315,NA
"27","032830","삼성생명","코스피","금융업",59000,-300,1.18e+13,"2020-10-16","-",59000,"5,443","10.84","178,335","0.33",2650,4.49,2234,NA
"28","251270","넷마블","코스피","서비스업",136500,-500,11715476545500,"2020-10-16","-",136500,"1,883","72.49","51,919","2.63",0,0,2307,NA
"29","033780","KT&G","코스피","기타제조",82300,400,11299172503100,"2020-10-16","-",82300,"8,208","10.03","63,008","1.31",4400,5.35,2235,NA
"30","009150","삼성전기","코스피","전기전자",137000,-2000,10233036352000,"2020-10-16","-",137000,"6,806","20.13","68,106","2.01",1100,0.8,2177,NA
"31","090430","아모레퍼시픽","코스피","화학",168000,5000,9821026320000,"2020-10-16","-",168000,"3,477","48.32","65,050","2.58",1000,0.6,2276,NA
"32","086790","하나금융지주","코스피","금융업",29100,-200,8737044004200,"2020-10-16","-",29100,"7,898","3.68","93,673","0.31",2100,7.22,2272,NA
"33","000810","삼성화재","코스피","금융업",180500,500,8551158078500,"2020-10-16","-",180500,"15,126","11.93","282,791","0.64",8500,4.71,2117,NA
"34","011170","롯데케미칼","코스피","화학",218000,-4000,7472041342000,"2020-10-16","-",218000,"20,860","10.45","385,244","0.57",6700,3.07,2192,NA
"35","096530","씨젠","코스닥","제약",283900,-3500,7447838278000,"2020-10-16","-",283900,"1,026","276.71","5,815","48.82",100,0.04,1277,NA
"36","009830","한화솔루션","코스피","화학",44450,-1950,7105976891650,"2020-10-16","-",44450,"-","-","35,228","1.26",200,0.45,2183,NA
"37","010130","고려아연","코스피","철강금속",373000,-2500,7.03851e+12,"2020-10-16","-",373000,"35,811","10.42","355,878","1.05",14000,3.75,2186,NA
"38","086280","현대글로비스","코스피","운수창고업",184500,5000,6.91875e+12,"2020-10-16","-",184500,"13,395","13.77","124,541","1.48",3500,1.9,2271,NA
"39","352820","빅히트","코스피","서비스업",200500,-57500,6786161496000,"2020-10-16","-",200500,"2,951","67.94","6,113","32.8",0,0,2316,NA
"40","018880","한온시스템","코스피","기계",12250,0,6.53905e+12,"2020-10-16","-",12250,"597","20.52","4,153","2.95",320,2.61,2213,NA
"41","010950","S-Oil","코스피","화학",56700,100,6383444306400,"2020-10-16","-",56700,"561","101.07","55,715","1.02",200,0.35,2190,NA
"42","019170","신풍제약","코스피","의약품",119000,-6000,6305213810000,"2020-10-16","-",119000,"35","3,400","3,782","31.46",0,0,1964,NA
"43","316140","우리금융지주","코스피","금융업",8410,-60,6074271214030,"2020-10-16","-",8410,"2,727","3.08","29,782","0.28",700,8.32,2314,NA
"44","030200","KT","코스피","통신업",22900,50,5979460403200,"2020-10-16","-",22900,"2,526","9.07","52,341","0.44",1100,4.8,2230,NA
"45","024110","기업은행","코스피","금융업",8080,0,5968408028800,"2020-10-16","-",8080,"2,242","3.6","33,567","0.24",670,8.29,2220,NA
"46","097950","CJ제일제당","코스피","음식료품",387500,-3500,5833497075000,"2020-10-16","-",387500,"9,516","40.72","297,949","1.3",3500,0.9,2281,NA
"47","021240","코웨이","코스피","서비스업",78700,-800,5808030015300,"2020-10-16","-",78700,"4,611","17.07","14,611","5.39",2400,3.05,2218,NA
"48","009540","한국조선해양","코스피","운수장비",79600,-200,5633540033600,"2020-10-16","-",79600,"2,183","36.46","163,436","0.49",0,0,2182,NA
"49","034220","LG디스플레이","코스피","전기전자",15700,-450,5617706490000,"2020-10-16","-",15700,"-","-","31,694","0.5",0,0,2237,NA
"50","006800","미래에셋대우","코스피","금융업",8490,-50,5478736303920,"2020-10-16","-",8490,"956","8.88","11,236","0.76",260,3.06,2168,NA
"51","032640","LG유플러스","코스피","통신업",11550,0,5042861219550,"2020-10-16","-",11550,"1,005","11.49","16,218","0.71",400,3.46,2233,NA
"52","271560","오리온","코스피","음식료품",126500,-1500,5001320698000,"2020-10-16","-",126500,"5,454","23.19","41,042","3.08",600,0.47,2309,NA
"53","003670","포스코케미칼","코스피","비금속광물",80000,800,4879057600000,"2020-10-16","-",80000,"1,672","47.85","16,356","4.89",400,0.5,2141,NA
"54","028300","에이치엘비","코스닥","운송장비·부품",92500,2400,4870563450000,"2020-10-16","-",92500,"-","-","3,835","24.12",0,0,1186,NA
"55","196170","알테오젠","코스닥","기타서비스",170000,0,4.774093e+12,"2020-10-16","-",170000,"-","-","2,519","67.49",0,0,1304,NA
"56","035250","강원랜드","코스피","서비스업",22050,50,4717388025000,"2020-10-16","-",22050,"1,651","13.36","17,377","1.27",900,4.08,2239,NA
"57","180640","한진칼","코스피","운수창고업",76100,1200,4502871929900,"2020-10-16","-",76100,"-","-","20,882","3.64",255,0.34,2297,NA
"58","139480","이마트","코스피","유통업",154500,-2500,4306814035500,"2020-10-16","-",154500,"7,620","20.28","315,997","0.49",2000,1.29,2292,NA
"59","000100","유한양행","코스피","의약품",62100,-700,4151807901000,"2020-10-16","-",62100,"644","96.43","24,221","2.56",400,0.64,2106,NA
"60","000120","CJ대한통운","코스피","운수창고업",181000,-500,4129034264000,"2020-10-16","-",181000,"1,349","134.17","131,146","1.38",0,0,2107,NA
"61","004020","현대제철","코스피","철강금속",30850,1150,4116802467250,"2020-10-16","-",30850,"130","237.31","126,631","0.24",750,2.43,2144,NA
"62","011780","금호석유","코스피","화학",135000,-8500,4113138285000,"2020-10-16","-",135000,"10,549","12.8","78,488","1.72",1500,1.11,2196,NA
"63","161390","한국타이어앤테크놀로지","코스피","화학",33100,-750,4100264783900,"2020-10-16","-",33100,"3,387","9.77","57,774","0.57",550,1.66,2294,NA
"64","285130","SK케미칼","코스피","화학",342000,-14000,4015557432000,"2020-10-16","-",342000,"802","426.43","54,214","6.31",450,0.13,2312,NA
"65","002790","아모레G","코스피","화학",48650,350,4011590457000,"2020-10-16","-",48650,"1,444","33.69","35,078","1.39",300,0.62,2133,NA
"66","008930","한미사이언스","코스피","금융업",59900,3900,3954067825100,"2020-10-16","-",59900,"476","125.84","9,794","6.12",200,0.33,2176,NA
"67","068760","셀트리온제약","코스닥","제약",108300,-400,3878223216600,"2020-10-16","-",108300,"241","449.38","7,826","13.84",0,0,1247,NA
"68","071050","한국금융지주","코스피","금융업",67900,600,3783794856800,"2020-10-16","-",67900,"14,467","4.69","81,250","0.84",2900,4.27,2264,NA
"69","011070","LG이노텍","코스피","전기전자",157000,-2500,3715735799000,"2020-10-16","-",157000,"4,323","36.32","93,151","1.69",300,0.19,2191,NA
"70","003490","대한항공","코스피","운수창고업",20350,-350,3545167659550,"2020-10-16","-",20350,"-","-","23,149","0.88",0,0,2137,NA
"71","000720","현대건설","코스피","건설업",31100,950,3463164291500,"2020-10-16","-",31100,"3,656","8.51","59,778","0.52",600,1.93,2116,NA
"72","267250","현대중공업지주","코스피","화학",215500,-1500,3404601963500,"2020-10-16","-",215500,"11,848","18.19","490,707","0.44",18500,8.58,2308,NA
"73","293490","카카오게임즈","코스닥","IT S/W & SVC",45850,-450,3378155052650,"2020-10-16","-",45850,"197","232.74","7,443","6.16",0,0,1169,NA
"74","128940","한미약품","코스피","의약품",282000,14500,3339734178000,"2020-10-16","-",282000,"4,433","63.61","61,212","4.61",500,0.18,2290,NA
"75","029780","삼성카드","코스피","금융업",28800,-250,3336736060800,"2020-10-16","-",28800,"3,225","8.93","59,525","0.48",1600,5.56,2228,NA
"76","010140","삼성중공업","코스피","운수장비",5200,20,3.276e+12,"2020-10-16","-",5200,"-","-","8,324","0.62",0,0,2187,NA
"77","012750","에스원","코스피","서비스업",85300,-100,3241329883400,"2020-10-16","-",85300,"4,337","19.67","34,937","2.44",2500,2.93,2201,NA
"78","095700","제넥신","코스닥","기타서비스",130000,-6100,3153853690000,"2020-10-16","-",130000,"-","-","12,496","10.4",0,0,1276,NA
"79","012510","더존비즈온","코스피","서비스업",105500,-500,3148852803000,"2020-10-16","-",105500,"1,684","62.65","11,427","9.23",470,0.45,2084,NA
"80","005830","DB손해보험","코스피","금융업",44450,50,3.14706e+12,"2020-10-16","-",44450,"5,966","7.45","84,026","0.53",1500,3.37,2158,NA
"81","078930","GS","코스피","금융업",33250,-800,3089436318500,"2020-10-16","-",33250,"5,745","5.79","93,746","0.35",1900,5.71,2267,NA
"82","034020","두산중공업","코스피","기계",12050,250,3050351279250,"2020-10-16","-",12050,"-","-","11,643","1.03",0,0,2236,NA
