"","종목코드","종목명","이익수익률","투하자본수익률"
"1","294870","HDC현대산업개발",0.1838,0.2167
"2","097230","한진중공업",0.1273,0.7292
"3","204270","제이앤티씨",0.126,0.2881
"4","097520","엠씨넥스",0.1421,0.6846
"5","091700","파트론",0.1635,0.2802
"6","036830","솔브레인홀딩스",0.3525,0.216
"7","066700","테라젠이텍스",0.1333,0.3543
"8","044340","위닉스",0.124,0.3255
"9","053610","프로텍",0.1769,0.2352
"10","047310","파워로직스",0.1491,0.2666
"11","031330","에스에이엠티",0.1726,0.1988
"12","002170","삼양통상",0.2658,0.178
"13","038460","바이오스마트",0.1393,0.2663
"14","054920","한컴위드",0.1407,0.2367
"15","052790","액토즈소프트",0.1598,0.2136
"16","057540","옴니시스템",0.1804,0.2795
"17","065710","서호전기",0.1581,0.255
"18","004650","창해에탄올",0.1664,0.2673
"19","007720","대명소노시즌",1.1315,0.4021
"20","056360","코위버",0.1933,0.2021
"21","225190","삼양옵틱스",0.1764,0.4109
"22","198080","엔피디",0.1409,0.3047
"23","084670","동양고속",0.3042,0.2724
"24","124560","태웅로직스",0.1287,0.3212
"25","032750","삼진",0.2159,0.1954
"26","032940","원익",0.341,0.374
"27","005670","푸드웰",0.4139,0.4751
"28","014100","메디앙스",0.523,0.4649
"29","010640","진양폴리",0.1749,0.2803
"30","083470","이엠앤아이",0.6918,9.5517
