"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"1",2020-10-16,"001540","안국약품","-",13250,"221","59.95","11,366","1.17",220,1.66,1,2358
"2",2020-10-16,"001810","무림SP","-",2205,"61","36.15","9,203","0.24",35,1.59,2,NA
"3",2020-10-16,"003100","선광","-",22000,"831","26.47","46,250","0.48",350,1.59,3,NA
"4",2020-10-16,"003800","에이스침대","-",40500,"4,130","9.81","42,247","0.96",1100,2.72,4,NA
"5",2020-10-16,"005710","대원산업","-",5220,"1,950","2.68","15,540","0.34",125,2.39,5,NA
"6",2020-10-16,"005860","한일사료","-",1725,"-","-","1,568","1.1",25,1.45,6,NA
"7",2020-10-16,"005990","매일홀딩스","-",7860,"1,728","4.55","21,233","0.37",140,1.78,7,NA
"8",2020-10-16,"006140","피제이전자","-",5800,"326","17.79","7,136","0.81",140,2.41,8,NA
"9",2020-10-16,"006580","대양제지","-",2770,"1,070","2.59","5,010","0.55",40,1.44,9,NA
"10",2020-10-16,"006620","동구바이오제약","-",24100,"1,585","15.21","8,918","2.7",100,0.41,10,NA
"11",2020-10-16,"006920","모헨즈","-",4620,"50","92.4","2,067","2.24",0,0,11,NA
"12",2020-10-16,"007330","푸른저축은행","-",8120,"2,008","4.04","17,594","0.46",550,6.77,12,NA
"13",2020-10-16,"008290","원풍물산","-",3005,"-","-","1,119","2.69",0,0,13,NA
"14",2020-10-16,"008470","부스타","-",5300,"416","12.74","8,763","0.6",90,1.7,14,NA
"15",2020-10-16,"008830","대동기어","-",3000,"-","-","6,383","0.47",25,0.83,15,NA
"16",2020-10-16,"009300","삼아제약","-",17350,"1,671","10.38","26,397","0.66",300,1.73,16,NA
"17",2020-10-16,"010280","쌍용정보통신","-",1250,"32","39.06","1,095","1.14",0,0,17,NA
"18",2020-10-16,"010470","오리콤","-",4155,"532","7.81","7,081","0.59",220,5.29,18,NA
"19",2020-10-16,"011320","유니크","-",8150,"220","37.05","5,184","1.57",12,0.15,19,NA
"20",2020-10-16,"011370","서한","-",1530,"98","15.61","2,994","0.51",30,1.96,20,NA
"21",2020-10-16,"011560","세보엠이씨","-",5590,"-","-","14,252","0.39",150,2.68,21,NA
"22",2020-10-16,"012340","뉴인텍","-",2980,"-","-","899","3.31",0,0,22,NA
"23",2020-10-16,"012620","원일특강","-",8740,"2,259","3.87","26,821","0.33",150,1.72,23,NA
"24",2020-10-16,"013120","동원개발","-",4115,"933","4.41","8,492","0.48",170,4.13,24,NA
"25",2020-10-16,"013310","아진산업","-",3150,"421","7.48","5,499","0.57",0,0,25,NA
"26",2020-10-16,"013720","청보산업","-",6980,"38","183.68","2,688","2.6",0,0,26,NA
