"","시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"1","코스피","030720","동원수산","어업",8670,-210,40348489350
"2","코스피","007160","사조산업","어업",29350,-500,1.4675e+11
"3","코스피","006040","동원산업","어업",224500,6500,825630404500
"4","코스피","004970","신라교역","어업",9460,-10,1.5136e+11
"5","코스피","003580","넥스트사이언스","광업",5910,90,190340060400
"6","코스피","017810","풀무원","음식료품",16700,-300,636613001300
"7","코스피","280360","롯데제과","음식료품",99600,100,639105013200
"8","코스피","271560","오리온","음식료품",126500,-1500,5001320698000
"9","코스피","006090","사조오양","음식료품",8890,-180,83768149710
"10","코스피","26490K","크라운제과우","음식료품",10700,-2100,8277092000
"11","코스피","264900","크라운제과","음식료품",8630,10,108080825500
"12","코스피","248170","샘표식품","음식료품",43500,-450,198720441000
"13","코스피","101530","해태제과식품","음식료품",8500,-150,247492987000
"14","코스피","014710","사조씨푸드","음식료품",4525,-105,77913907075
"15","코스피","145995","삼양사우","음식료품",46000,0,17023220000
"16","코스피","145990","삼양사","음식료품",51600,-900,532173968400
"17","코스피","000087","하이트진로2우B","음식료품",21900,-150,24750022200
"18","코스피","136490","선진","음식료품",9830,-90,233753507320
"19","코스피","033920","무학","음식료품",6450,-430,1.83825e+11
"20","코스피","000080","하이트진로","음식료품",37950,-850,2661570537450
"21","코스피","011155","CJ씨푸드1우","음식료품",45900,-600,9.18e+09
"22","코스피","011150","CJ씨푸드","음식료품",4515,70,162227440095
"23","코스피","097955","CJ제일제당 우","음식료품",160000,-2000,212389280000
"24","코스피","097950","CJ제일제당","음식료품",387500,-3500,5833497075000
"25","코스피","027740","마니커","음식료품",680,-5,134961363920
"26","코스피","002600","조흥","음식료품",150000,0,9e+10
"27","코스피","049770","동원F&B","음식료품",169500,1000,654121518000
"28","코스피","036580","팜스코","음식료품",4740,-85,174090449820
"29","코스피","023150","MH에탄올","음식료품",7750,-290,57183576500
"30","코스피","008040","사조동아원","음식료품",860,-3,121384356000
"31","코스피","007310","오뚜기","음식료품",560000,-4000,2056309360000
"32","코스피","006980","우성사료","음식료품",3075,-15,95017500000
"33","코스피","005610","SPC삼립","음식료품",61000,-100,526369549000
"34","코스피","005305","롯데칠성우","음식료품",56600,-800,43882546000
"35","코스피","005300","롯데칠성","음식료품",86900,0,694631674000
"36","코스피","005180","빙그레","음식료품",55700,-1100,548714123700
"37","코스피","004415","서울식품우","음식료품",5220,-410,11611890000
"38","코스피","004410","서울식품","음식료품",150,0,50611500000
"39","코스피","004370","농심","음식료품",301000,0,1830875242000
"40","코스피","003960","사조대림","음식료품",14050,-50,128760761350
"41","코스피","003925","남양유업우","음식료품",148000,1000,24665976000
"42","코스피","003920","남양유업","음식료품",259000,-500,1.8648e+11
"43","코스피","003680","한성기업","음식료품",12450,-1450,77308461750
"44","코스피","003230","삼양식품","음식료품",100500,500,757068007500
"45","코스피","002270","롯데푸드","음식료품",306500,-1500,346918155000
"46","코스피","002140","고려산업","음식료품",3555,-150,88659655875
"47","코스피","001795","대한제당우","음식료품",13500,-200,8751726000
"48","코스피","001790","대한제당","음식료품",18900,500,169526536200
"49","코스피","001685","대상우","음식료품",16700,-300,22882724100
"50","코스피","001680","대상","음식료품",25400,-150,880059835000
"51","코스피","001130","대한제분","음식료품",152500,500,2.57725e+11
