"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","277920","경상남도 하동군 금성면 경제산업로 509","9160527","2015","남부발전 하동발전"," ","130401"," "," ","12932371"
"measureResultList.2"," ","789","경상남도 양산시 상북면 효충2길 13","42289","2015","페트로코너지"," ","130462"," "," ","48870"
"measureResultList.3"," ","394","경상남도 창원시 의창구 남면로113번길 27 (대원동)","410","2015","창원에너텍","686","130412","3039"," ","19785"
"measureResultList.4"," ","373","경상남도 함안군 칠서면 공단서3길 62","7171","2015","월산페이퍼마산공장","7555","130416","22049"," ","52156"
"measureResultList.5"," ","973","경상남도 김해시 부곡로 35"," ","2015","김해시 자원순환시설","2881","130402","1347"," ","32052"
"measureResultList.6"," ","670727","경상남도 고성군 하이면 하이로 1","13649228","2015","남동발전 삼천포발전본부"," ","130403"," "," ","21023200"
"measureResultList.7"," ","2115","경상남도 창원시 성산구 창곡로108번길 20 (신촌동)"," ","2015","성산자원회수시설","4129","130404","2640"," ","41835"
"measureResultList.8"," ","29978","경상남도 창원시 성산구 공단로103번길 12 (신촌동)"," ","2015","한국철강㈜"," ","130405"," "," "," "
"measureResultList.9"," ","3068","경상남도 진주시 남강로1317번길 24 (상대동)","89939","2015","무림파워텍"," ","130406"," "," ","236619"
"measureResultList.10"," ","19382","경상남도 창원시 성산구 두산볼보로 22"," ","2015","두산중공업"," ","130408"," "," "," "
"measureResultList.11"," ","38463","경상남도 창원시 성산구 적현로 147 (신촌동)"," ","2015","세아창원특수강"," ","130409"," "," "," "
"measureResultList.12"," ","371","경상남도 양산시 웅상대로 1564 (용당동)","387","2015","한창제지","347","130410","650"," ","6339"
"measureResultList.13"," "," ","경상남도 양산시 양산대로 1034 (북정동)"," ","2015","금오산업","3","130434"," "," "," "
"measureResultList.14"," "," ","경상남도 김해시 김해대로2553번길 36 (어방동)"," ","2015","은성도금","24","130435"," "," "," "
"measureResultList.15"," "," ","경상남도 김해시 김해대로2596번길 137 (지내동)"," ","2015","금호도금공업","67","130436"," "," "," "
"measureResultList.16"," "," ","경상남도 김해시 김해대로2553번길 42 (어방동)"," ","2015","성광금속","10","130437"," "," "," "
"measureResultList.17"," "," ","경상남도 양산시 산막공단북4길 13 (산막동)"," ","2015","대호피앤씨","228","130438"," "," "," "
"measureResultList.18"," ","629","경상남도 함안군 칠원읍 야촌강변길 109","102","2015","삼정펄프㈜함안","43","130440","3072"," ","11487"
"measureResultList.19"," "," ","경상남도 양산시 상북면 양산대로 1314"," ","2015","고려제강㈜양산공장","376","130447"," "," "," "
"measureResultList.20"," "," ","경상남도 김해시 유하로133번길 25-3 (유하동)"," ","2015","세현TECH","38","130448"," "," "," "
"measureResultList.21"," "," ","경상남도 김해시 유하로 201 (유하동)"," ","2015","SNC","218","130449"," "," "," "
"measureResultList.22"," ","1318","경상남도 창원시 마산회원구 자유무역6길 103","1382","2015","KC환경서비스㈜창원사업부","4472","130413","4137"," ","42370"
"measureResultList.23"," ","21","경상남도 함안군 군북면 장백로 228"," ","2015","한국주강(군북)"," ","130425"," "," "," "
"measureResultList.24"," "," ","경상남도 김해시 주촌면 서부로1637번길 337"," ","2015","코리아갈바","132","130450"," "," "," "
"measureResultList.25"," ","222","경상남도 김해시 화목로 334","3","2015","김해시 하수슬러지 자원화 처리시설","38","130452","1098"," ","3243"
"measureResultList.26"," "," ","경상남도 양산시 어실로 1 (유산동)"," ","2015","고려제강㈜유산공장","314","130439"," "," "," "
"measureResultList.27"," ","259","경상남도 창원시 마산합포구 가포로 739 (덕동동)","2075","2015","창원시하수도사업소","1092","130453","1402"," ","5557"
"measureResultList.28"," ","0","경상남도 거제시 장평3로 80","0","2015","삼성중공업㈜거제","15","130424","80"," ","7767"
"measureResultList.29"," ","83","경상남도 고성군 삼산면 대독산업로 7"," ","2015","고성군소각장","104","130430","1238"," ","3539"
"measureResultList.30"," ","422","경상남도 함안군 칠서면 공단동길 98"," ","2015","한국특수형강"," ","130454"," "," "," "
"measureResultList.31"," ","175","경상남도 창원시 마산합포구 진동면 공원묘원로 91","972","2015","마산자원회수시설","1559","130455","2036"," ","32127"
"measureResultList.32"," ","156","경상남도 함안군 가야읍 함마대로 1258","765","2015","함안군폐기물처리장","169","130456","7159"," ","3360"
"measureResultList.33"," "," ","경상남도 고성군 거류면 거류로 376-48"," ","2015","하이에어코리아","5","130457"," "," "," "
"measureResultList.34"," ","73","경상남도 함안군 법수면 장백로 585"," ","2015","한국주강(법수)"," ","130458"," "," "," "
"measureResultList.35"," ","126","경상남도 창녕군 장마면 창녕장마로 337-134"," ","2015","창녕군소각장","185","130459","482"," ","3217"
"measureResultList.36"," ","269","경상남도 김해시 주촌면 서부로1541번안길 79"," ","2015","대방스페샬스틸"," ","130429"," "," "," "
"measureResultList.37"," ","638","경상남도 거제시 연초면 한내8길 95","3953","2015","거제시자원순환시설","2744","130460","3210"," ","42586"
"measureResultList.38"," ","178","경상남도 사천시 환경길 71 (사등동)","752","2015","사천시자원회수센터","334","130461","173"," ","5405"
"measureResultList.39"," ","2265","경상남도 의령군 의령읍 구룡로1길 39","6786","2015","태림페이퍼㈜의령공장","6352","130417","9671"," ","47780"
"measureResultList.40"," ","582","경상남도 진주시 도동로 58 (상평동)"," ","2015","하이트진로산업㈜진주공장"," ","130407"," "," ","36080"
"measureResultList.41"," ","436","경상남도 진주시 남강로 1303 (상평동)","3525","2015","동일팩키지㈜진주공장","72","130432","7428"," ","13283"
"measureResultList.42"," ","151","경상남도 거창군 거창읍 심소정길 139-14"," ","2015","거창군소각장","129","130444","2744"," ","3644"
"measureResultList.43"," "," ","경상남도 거제시 연초면 오비4길 54"," ","2015","삼녹","16","130445"," "," "," "
"measureResultList.44"," ","558","경상남도 양산시 동면 강변로 264","291","2015","양산시자원회수시설","811","130446","996"," ","9703"
"measureResultList.45"," ","8678","경상남도 함안군 군북면 장백로 394"," ","2015","한국제강"," ","130415"," "," "," "
"measureResultList.46"," ","373","경상남도 양산시 산막공단북5길 29 (산막동)","1891","2015","NC양산㈜","82","130418","2907"," ","14285"
"measureResultList.47"," ","318","경상남도 창원시 진해구 천자로 105-1 (덕산동)","3","2015","진해자원회수시설","48","130419","359"," ","1102"
"measureResultList.48"," ","31","경상남도 창원시 의창구 반계로 40 (팔용동)","6296","2015","동서식품창원공장","91","130420","2013"," ","8772"
"measureResultList.49"," ","129","경상남도 밀양시 무안면 백안1안길 8-6"," ","2015","밀양시소각장","422","130421","694"," ","9028"
"measureResultList.50"," ","532","경상남도 통영시 평인일주로 1074-54 (명정동)"," ","2015","통영시소각장","1161","130422","1005"," ","8966"
"measureResultList.51"," ","166","경상남도 양산시 소주공단로 10 (주남동)","1492","2015","마노플랜","435","130423","6866"," ","6882"
"measureResultList.52"," ","367","경상남도 양산시 주남로 50 (주남동)"," ","2015","㈜세창","550","130428","595"," ","9896"
"measureResultList.53"," ","163","경상남도 진주시 남강로1367번길 36 (상대동)","1119","2015","남강제지㈜","241","130431","7672"," ","12080"
"measureResultList.54"," ","20","경상남도 진주시 공단로 237 (상평동)"," ","2015","㈜경서","22","130433","621"," ","1715"
"year","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015"
"brtcCode","15","15","15","15","15","15","15","15","15","15","15"
