"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","3249","대구광역시 달서구 달서대로 351 (대천동)","149204","2015","한국지역난방공사 대구지사"," ","130301"," "," ","200783"
"measureResultList.2"," ","1738","대구광역시 달서구 성서공단로 257 (장동)","2057","2015","대구환경공단 성서사업소","2622","130303","5889"," ","28817"
"measureResultList.3"," ","16063","대구광역시 서구 염색공단중앙로 33","1120344","2015","대구염색산업단지관리공단(열병합발전소)"," ","130302"," "," ","1056326"
"measureResultList.4"," "," ","대구광역시 동구 매여로 14 (율암동)"," ","2015","대구그린파워㈜"," ","130313"," "," ","148054"
"measureResultList.5"," ","626","대구광역시 달서구 성서공단로51길 27 (장동)","319","2015","신대일제지공업㈜","692","130308","6799"," ","46674"
"measureResultList.6"," ","809","대구광역시 달서구 성서동로53길 16 (장동)","3726","2015","아상텍스㈜","87","130312","5826"," ","12737"
"measureResultList.7"," ","2530","대구광역시 달성군 현풍읍 국가산단북로100길 40","21170","2015","㈜아진피앤피","1037","130306","67734"," ","99321"
"measureResultList.8"," ","2805","대구광역시 달성군 유가면 비슬로96길 35","844","2015","경산제지㈜","921","130307","6774"," ","37337"
"measureResultList.9"," ","823","대구광역시 달성군 유가면 비슬로96길 97","16206","2015","세하㈜","326","130304","1179"," ","69127"
"year","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015"
"brtcCode","3","3","3","3","3","3","3","3","3","3","3"
