"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","6958","부산광역시 사하구 을숙도대로 760 (구평동)"," ","2016","와이케이스틸"," ","130205"," "," "," "
"measureResultList.2"," ","5000","부산광역시 사하구 하신번영로 69 (신평동)"," ","2016","대한제강"," ","130206"," "," "," "
"measureResultList.3"," ","14138","부산광역시 사하구 신산로13번길 33 (신평동)","264473","2016","부산패션칼라산업"," ","130207"," "," ","215086"
"measureResultList.4"," ","5202","부산광역시 사하구 강변대로 20 (신평동)","4185","2016","에너지네트웍","2428","130208","21144"," ","53157"
"measureResultList.5"," "," ","부산광역시 사하구 감천항로 7"," ","2016","남부발전 부산발전본부"," ","130209"," "," ","793444"
"measureResultList.6"," ","2122","부산광역시 강서구 생곡산단로52번길 32 (생곡동)"," ","2016","부산이앤이","9228","130222","8185"," ","85142"
"measureResultList.7"," ","57","부산광역시 기장군 정관읍 양수길 55-52"," ","2016","NC메디","13","130216","362"," ","1530"
"measureResultList.8"," ","1963","부산광역시 강서구 명지오션시티13로 12-11 (명지동)","1784","2016","부산환경공단 명지자원에너지센터","537","130211","3221"," ","30662"
"measureResultList.9"," ","1130","부산광역시 해운대구 해운대로 898 (좌동)","505","2016","해운대자원에너지센터","876","130201","2999"," ","21258"
"measureResultList.10"," "," ","부산광역시 사하구 다산로 240 (장림동)"," ","2016","태양금속","219","130218"," "," "," "
"measureResultList.11"," ","1215","부산광역시 사하구 을숙도대로 525 (신평동)","7345","2016","한국주철관공업"," ","130214"," "," ","8442"
"measureResultList.12"," ","6649","부산광역시 강서구 녹산산업북로 333 (송정동)"," ","2016","대한제강㈜녹산공장"," ","130220"," "," "," "
"measureResultList.13"," ","19","부산광역시 사하구 감천항로291번길 80 (구평동)","56","2016","에이치엘비에너지주식회사","55","130212","836"," ","2601"
"measureResultList.14"," "," ","부산광역시 강서구 녹산산업중로 333 (송정동)"," ","2016","삼성전기㈜부산공장","222","130215"," "," "," "
"measureResultList.15"," "," ","부산광역시 남구 신선로 102 (감만동)"," ","2016","동국제강㈜부산공장","675","130217"," "," "," "
"measureResultList.16"," ","1120","부산광역시 강서구 화전산단1로 15"," ","2016","(주)태웅 제강사업부"," ","130223"," "," "," "
"year","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016"
"brtcCode","2","2","2","2","2","2","2","2","2","2","2"
