"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","195","충청북도 단양군 매포읍 매포농공단지로 260","35014","2016","주식회사 지알엠"," ","170508"," "," "," "
"measureResultList.2"," ","336","충청북도 음성군 맹동면 원중로 873-23"," ","2016","진천음성광역폐기물처리시설","396","170509","1152"," ","6933"
"measureResultList.3"," ","10","충청북도 충주시 충주호수로 108 (목행동)","82","2016","㈜세람에너지서비스(충주)","142","170510","69"," ","1993"
"measureResultList.4"," ","80886","충청북도 단양군 매포읍 매포길 18"," ","2016","성신양회㈜ 단양공장","1518","170012"," "," ","10045210"
"measureResultList.5"," ","2503","충청북도 청주시 흥덕구 직지대로474번길 2","4811","2016","한세이프㈜","1033","170015","9222"," ","41582"
"measureResultList.6"," ","1276","충청북도 청주시 청원구 북이면 의암로 298","5809","2016","우진환경개발㈜","1743","170016","6235"," ","20944"
"measureResultList.7"," ","877","충청북도 진천군 진천읍 금사로 7"," ","2016","㈜이에스지","394","170018","2141"," ","16898"
"measureResultList.8"," ","161","충청북도 청주시 흥덕구 옥산면 미호로 555","1621","2016","청주시환경관리본부(하수처리과)","87","170019","1692"," ","3157"
"measureResultList.9"," ","587","충청북도 청주시 흥덕구 옥산면 옥산산단로 76"," ","2016","㈜엔이티","8552","170511","3798"," ","54929"
"measureResultList.10"," ","270","충청북도 청주시 흥덕구 강내면 태성1길 20-44"," ","2016","㈜제스코파워","2944","170512","4372"," ","16191"
"measureResultList.11"," ","375","충청북도 충주시 대소원면 성종두담길 21"," ","2016","충주시클린에너지파크","427","170024","1718"," ","14022"
"measureResultList.12"," ","539","충청북도 청주시 청원구 오창읍 여천3길 166","1877","2016","㈜다나에너지솔루션","7227","170507","11165"," ","43811"
"measureResultList.13"," ","236","충청북도 옥천군 군북면 이평1길 199"," ","2016","옥천군 생활폐기물소각시설","310","170021","274"," ","5167"
"measureResultList.14"," ","37","충청북도 음성군 삼성면 상곡로 55-35","416","2016","㈜에이스침대 제1공장","38","170502","1995"," ","1182"
"measureResultList.15"," ","78","충청북도 제천시 북부로 1860"," ","2016","제천시 자원관리센터","37","170503","838"," ","4067"
"measureResultList.16"," ","34666","충청북도 제천시 송학면 송학산로 14"," ","2016","아세아시멘트㈜ 제천","618","170006"," "," ","7878514"
"measureResultList.17"," ","1358","충청북도 청주시 청원구 북이면 신대석성로 245","3212","2016","㈜클렌코","7276","170017","21219"," ","61608"
"measureResultList.18"," "," ","충청북도 단양군 매포읍 단양로 1295-14"," ","2016","주식회사 태경비케이 단양1공장"," ","170504"," "," ","145464"
"measureResultList.19"," ","10","충청북도 영동군 매곡면 수원동길 32-40","1","2016","육군제3808부대","0","170505","142"," ","197"
"measureResultList.20"," ","2415","충청북도 청주시 흥덕구 가로수로 969-1 (휴암동)"," ","2016","청주권광역소각시설","8391","170506","2153"," ","53119"
"measureResultList.21"," ","2485","충청북도 청주시 흥덕구 강내면 태성1길 64","4113","2016","깨끗한나라㈜","302","170001","48291"," ","118662"
"measureResultList.22"," ","10583","충청북도 청주시 서원구 3순환로644번길 159 (죽림동)","118051","2016","한국지역난방공사 청주지사"," ","170002"," "," ","254949"
"measureResultList.23"," ","1462","충청북도 청주시 흥덕구 백봉로 39 (송정동)","1773","2016","㈜엘지화학 청주공장","57","170003","1425"," ","15436"
"measureResultList.24"," ","175","충청북도 청주시 흥덕구 백봉로72번길 21 (송정동)","19","2016","롯데네슬레코리아㈜","13","170004","470"," ","6050"
"measureResultList.25"," ","1519","충청북도 청주시 상당구 가덕면 상장인차로 27"," ","2016","㈜유니온"," ","170007"," "," ","207170"
"measureResultList.26"," ","5022","충청북도 청주시 흥덕구 오송읍 상정쌍청로 256","417","2016","대한제지㈜","7285","170008","24576"," ","126906"
"measureResultList.27"," ","2029","충청북도 청주시 흥덕구 오송읍 상정쌍청로 171","4487","2016","나투라페이퍼㈜","59","170011","12412"," ","49109"
"measureResultList.28"," ","38940","충청북도 단양군 매포읍 고양길 95"," ","2016","한일현대시멘트㈜단양공장","52","170013"," "," ","2103575"
"measureResultList.29"," ","155582","충청북도 단양군 매포읍 매포길 245"," ","2016","한일시멘트㈜단양공장","9408","170014"," "," ","10070086"
"year","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016"
"brtcCode","10","10","10","10","10","10","10","10","10","10","10"
