"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","15132","경상북도 구미시 1공단로6길 54","230731","2017","지에스이앤알"," ","130501"," "," ","891684"
"measureResultList.2"," ","7524","경상북도 김천시 공단4길 118-10 (응명동)","304430","2017","김천에너지서비스"," ","130560"," "," ","308717"
"measureResultList.3"," ","4711","경상북도 포항시 남구 오천읍 광명산단로 61"," ","2017","㈜심팩인더스트리 고순도 FeSi공장"," ","130561"," "," "," "
"measureResultList.4"," ","1979","경상북도 경주시 천북면 천북산단로 265-15","3959","2017","베페사징크코리아㈜"," ","130562"," "," ","17619"
"measureResultList.5"," "," ","경상북도 포항시 남구 동해안로 6262 (동촌동)"," ","2017","포스코에너지포항발전소"," ","130563"," "," ","512271"
"measureResultList.6"," ","132","경상북도 포항시 북구 흥해읍 영일만산단남로75번길 41","4144","2017","이비덴그라파이트㈜"," ","130564"," "," ","280"
"measureResultList.7"," "," ","경상북도 안동시 풍산읍 산업단지1길 38"," ","2017","남부발전안동발전본부"," ","130566"," "," ","118993"
"measureResultList.8"," ","100","경상북도 경산시 용성면 설총로 154-180","567","2017","경산시 자원회수시설","1373","130568","1106"," ","8384"
"measureResultList.9","1","844","경상북도 포항시 남구 대송로253번길 63 (괴동동)"," ","2017","㈜한국협화"," ","130531"," ","49"," "
"measureResultList.10"," ","125681","경상북도 포항시 남구 동해안로 6261 (괴동동)","4375209","2017","㈜포스코 포항제철소","1562","130502","4629"," ","10104012"
"measureResultList.11"," ","0","경상북도 포항시 남구 대송면 철강산단로 176","0","2017","에스피네이처슈레더","0","130505","0"," ","0"
"measureResultList.12"," ","14359","경상북도 포항시 남구 대송면 철강산단로 195"," ","2017","동국제강㈜포항공장"," ","130511"," "," "," "
"measureResultList.13"," "," ","경상북도 포항시 남구 대송로 111 (장흥동)"," ","2017","동일산업포항2공장","252","130543"," "," "," "
"measureResultList.14"," ","6045","경상북도 포항시 남구 신항로 110 (청림동)"," ","2017","㈜포스코케미칼"," ","130542"," "," ","212698"
"measureResultList.15"," "," ","경상북도 포항시 남구 괴동로 57 (장흥동)"," ","2017","동국산업","0","130544"," "," "," "
