"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," "," ","서울특별시 서초구 반포대로 222"," ","2017","가톨릭대학교 서울성모병원"," ","150324"," "," ","15427"
"measureResultList.2"," ","1599","서울특별시 마포구 하늘공원로 86 (상암동)","204","2017","마포자원회수시설","2142","150131","6597"," ","44307"
"measureResultList.3"," "," ","서울특별시 강남구 개포로 625"," ","2017","서울시탄천물재생센터"," ","150692"," "," ","7474"
"measureResultList.4"," ","249","서울특별시 은평구 통일로 1053 (진관동)","1","2017","은평환경플랜트","333","150169","1280"," ","3144"
"measureResultList.5"," "," ","서울특별시 송파구 올림픽로 300"," ","2017","롯데물산㈜"," ","150760"," "," ","783"
"measureResultList.6"," "," ","서울특별시 강서구 양천로 201"," ","2017","서남바이오에너지㈜"," ","150623"," "," ","60182"
"measureResultList.7"," ","2369","서울특별시 노원구 덕릉로70길 99 (상계동)"," ","2017","노원자원회수시설","1494","150021","7716"," ","62602"
"measureResultList.8"," "," ","서울특별시 양천구 신정이펜1로 100"," ","2017","서울에너지공사 서부지사(신정3지구 열병합발전소)"," ","150590"," "," ","13"
"measureResultList.9"," "," ","서울특별시 구로구 경인로 662"," ","2017","대성산업주식회사"," ","150591"," "," ","111"
"measureResultList.10"," "," ","서울특별시 마포구 월드컵북로 516"," ","2017","한국지역난방공사 중앙지사(상암2CES)"," ","150574"," "," ","2478"
"measureResultList.11"," "," ","서울특별시 송파구 올림픽로43길 88"," ","2017","서울아산병원"," ","150644"," "," ","2450"
"measureResultList.12"," "," ","서울특별시 송파구 헌릉로 789"," ","2017","한국지역난방공사 강남지사(동남권CES)"," ","150310"," "," ","21174"
"measureResultList.13"," "," ","서울특별시 동대문구 경희대로 23"," ","2017","경희의료원"," ","150665"," "," ","365"
"measureResultList.14"," "," ","서울특별시 강남구 일원로 81"," ","2017","삼성서울병원"," ","150331"," "," ","5676"
"measureResultList.15"," ","12","서울특별시 강서구 양천로 201 (마곡동)","1673","2017","서남물재생센터","8","150101","747"," ","9607"
"measureResultList.16"," "," ","서울특별시 서대문구 연세로 50-1"," ","2017","연세의료원"," ","150643"," "," ","4624"
"measureResultList.17"," "," ","서울특별시 종로구 대학로 101"," ","2017","서울대학교병원"," ","150645"," "," ","2942"
"measureResultList.18"," "," ","서울특별시 강남구 영동대로 511"," ","2017","㈜더블유티씨서울"," ","150660"," "," ","3013"
"measureResultList.19"," "," ","서울특별시 성동구 자동차시장3길 64"," ","2017","서울시 중랑물재생센터"," ","150669"," "," ","3594"
"measureResultList.20"," "," ","서울특별시 노원구 덕릉로70길 99"," ","2017","서울에너지공사 동부지사(노원열병합발전소)"," ","150020"," "," ","73275"
"measureResultList.21"," ","664","서울특별시 양천구 안양천로 1121 (목동)"," ","2017","양천자원회수시설","2035","150022","5593"," ","25606"
"measureResultList.22"," "," ","서울특별시 양천구 목동서로 20 (목동)"," ","2017","서울에너지공사 (목동열병합발전소)"," ","150023"," "," ","45700"
"measureResultList.23"," "," ","서울특별시 마포구 토정로 56"," ","2017","한국중부발전㈜서울발전본부"," ","150024"," "," ","39022"
"measureResultList.24"," ","2150","서울특별시 강남구 남부순환로 3318 (일원동)"," ","2017","강남자원회수시설","5741","150028","10388"," ","56729"
"measureResultList.25"," "," ","서울특별시 송파구 올림픽로 240 (잠실동)"," ","2017","㈜호텔롯데(롯데월드)"," ","150030"," "," ","9637"
"measureResultList.26"," "," ","서울특별시 강서구 양천로 255"," ","2017","서울에너지공사(마곡 집단에너지 공급시설)"," ","150772"," "," ","0"
"year","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017"
"brtcCode","1","1","1","1","1","1","1","1","1","1","1"
