"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," "," ","울산광역시 울주군 온산읍 이진로 71"," ","2017","제이엠씨","42","130149"," "," "," "
"measureResultList.2"," ","18144","울산광역시 남구 용잠로 623 (남화동)","577133","2017","동서발전 울산화력"," ","130158"," "," ","2341094"
"measureResultList.3"," "," ","울산광역시 남구 상개로 141 (상개동)"," ","2017","한화솔루션㈜울산1","1","130159"," "," "," "
"measureResultList.4"," ","637","울산광역시 남구 처용로 260-158 (부곡동)"," ","2017","대한유화㈜울산공장"," ","130123"," "," ","9496"
"measureResultList.5"," ","1675","울산광역시 남구 처용로 524 (성암동)"," ","2017","울산시소각장","4602","130166","2534"," ","56966"
"measureResultList.6"," ","4668","울산광역시 남구 용잠로 328 (용잠동)","10051","2017","코엔텍","1675","130167","9474"," ","165568"
"measureResultList.7"," ","946","울산광역시 남구 용잠로 339 (용잠동)","6801","2017","NC울산㈜","1356","130169","5474"," ","30998"
"measureResultList.8"," ","850","울산광역시 울주군 온산읍 온산로 219-3"," ","2017","범우","698","130171","1508"," ","36061"
"measureResultList.9"," ","2749","울산광역시 울주군 온산읍 온산로 134"," ","2017","대한유화(주) 온산공장"," ","130127"," "," ","126635"
"measureResultList.10"," ","7587","울산광역시 남구 용잠로 255"," ","2017","SK picglobal"," ","130145","10437"," ","173530"
"measureResultList.11"," "," ","울산광역시 남구 용연로 299 (황성동)"," ","2017","에스케이어드밴스드㈜"," ","130102"," "," ","31058"
"measureResultList.12"," ","2318","울산광역시 남구 여천로 228 (여천동)"," ","2017","㈜티에스케이이앤피","4612","130103","7841"," ","89812"
"measureResultList.13"," ","12818","울산광역시 남구 사평로 60 (부곡동)","485364","2017","한주"," ","130143"," "," ","564569"
"measureResultList.14"," "," ","울산광역시 울주군 온산읍 공단로 160"," ","2017","바스프 온산공장"," ","130182"," "," ","24289"
"measureResultList.15"," ","0","울산광역시 울주군 삼동면 암리3길 22"," ","2017","금풍에너지","0","130187","0"," ","0"
