"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","502","경기도 용인시 처인구 남사면 천덕산로428번길 22","38","2018","㈜스테리싸이클코리아","2020","150137","1941"," ","50161"
"measureResultList.2"," ","19458","경기도 안산시 단원구 해안로 404 (초지동)","365129","2018","㈜지에스이앤알"," ","150014"," "," ","652664"
"measureResultList.3"," "," ","경기도 파주시 문산읍 방촌로 1675-29"," ","2018","전기초자코리아㈜"," ","150612"," "," ","53182"
"measureResultList.4"," "," ","경기도 포천시 신북면 청신로1526번길 19"," ","2018","포천민자발전㈜"," ","150721"," "," ","239259"
"measureResultList.5"," ","96","경기도 용인시 수지구 만현로 15 (풍덕천동)"," ","2018","수지환경센터","820","150139","4971"," ","10390"
"measureResultList.6"," ","0","경기도 화성시 남양읍 매바위로 580-18","0","2018","㈜삼부환경","0","150155","0"," ","0"
"measureResultList.7"," ","620","경기도 이천시 호법면 중부대로798번길 128"," ","2018","동부권광역자원회수시설","513","150184","4258"," ","33137"
"measureResultList.8"," "," ","경기도 안산시 단원구 엠티브이2로 14"," ","2018","㈜에스파워"," ","150609"," "," ","359443"
"measureResultList.9"," ","38008","경기도 여주시 가남읍 여주남로 541","1733294","2018","㈜케이씨씨글라스 여주공장"," ","150104"," "," ","1861596"
"measureResultList.10"," "," ","경기도 수원시 영통구 매영로 150"," ","2018","삼성전기㈜"," ","150674"," "," ","5922"
"measureResultList.11"," "," ","경기도 포천시 창수면 포천로2797번길 17"," ","2018","포천파워㈜"," ","150620"," "," ","400910"
"measureResultList.12"," ","736","경기도 동두천시 강변로690번길 51 (동두천동)"," ","2018","대재에너지㈜","2","150317","18726"," ","64801"
"measureResultList.13"," ","416","경기도 의정부시 장곡로 147"," ","2018","의정부시생활폐기물소각시설","1073","150080","5537"," ","18138"
"measureResultList.14"," ","45","경기도 고양시 덕양구 대덕로 426 (현천동)","49","2018","서울특별시 난지물재생센터","1","150105","1909"," ","3131"
"measureResultList.15"," ","679","경기도 동두천시 삼육사로652번길 60 (상패동)","240","2018","청송산업개발㈜","105","150158","7463"," ","12859"
"measureResultList.16"," ","295","경기도 김포시 김포한강4로 419-37 (마산동)"," ","2018","김포시 자원화센터","154","150582","13933"," ","7847"
"measureResultList.17"," ","132","경기도 이천시 부발읍 중부대로1707번길 13","24682","2018","㈜금비"," ","150117"," "," ","26480"
"measureResultList.18"," "," ","경기도 이천시 마장면 중부대로 137"," ","2018","인그리디언코리아(유) 이천공장"," ","150270"," "," ","39881"
"measureResultList.19"," "," ","경기도 고양시 덕양구  대덕로 426(현천동)"," ","2018","한국지역난방공사 중앙지사(난지)"," ","150626"," "," ","2021"
"measureResultList.20"," "," ","경기도 포천시 신북면 신창길 34-1"," ","2018","㈜이원브이엘"," ","150724"," "," ","35569"
"measureResultList.21"," "," ","경기도 안성시 공단로 28"," ","2018","㈜농심"," ","150736"," "," ","15025"
"measureResultList.22"," "," ","경기도 파주시 청석로 380"," ","2018","한국지역난방공사 파주지사"," ","150312"," "," ","277343"
"measureResultList.23"," "," ","경기도 고양시 덕양구 동축로 16"," ","2018","한국지역난방공사 삼송지사"," ","150577"," "," ","24892"
"measureResultList.24"," ","69","경기도 남양주시 덕송3로 76 (별내동)"," ","2018","남양주별내클린센터","22","150576","950"," ","6189"
"measureResultList.25"," "," ","경기도 평택시 오성면 서동대로 2427-177"," ","2018","평택에너지서비스㈜오성복합화력발전소"," ","150602"," "," ","476546"
"measureResultList.26"," "," ","경기도 안산시 상록구 용담로 141 (팔곡이동)"," ","2018","씨제이제일제당㈜ 안산공장"," ","150125"," "," ","9831"
"measureResultList.27"," "," ","경기도 파주시 월롱면 엘지로 245"," ","2018","엘지디스플레이㈜"," ","150196"," "," ","12626"
"measureResultList.28"," ","98","경기도 과천시 구리안로 177 (갈현동)"," ","2018","과천시자원정화센터","144","150076","2036"," ","10561"
"measureResultList.29"," ","400","경기도 군포시 초막골길 101-58 (산본동)"," ","2018","군포환경관리소","656","150078","541"," ","19648"
"measureResultList.30"," ","850","경기도 안산시 단원구 지원로 53 (성곡동)","35939","2018","동화지앤피㈜"," ","150121"," "," ","28813"
"measureResultList.31"," ","1072","경기도 안산시 단원구 신원로 292 (목내동)"," ","2018","㈜종근당바이오"," ","150126","8678"," "," "
"measureResultList.32"," "," ","경기도 김포시 대곶면 대명항로205번길 49-38"," ","2018","㈜이건그린텍"," ","150484"," "," ","5952"
"measureResultList.33"," ","51","경기도 양주시 남면 화합로610번길 30-180"," ","2018","㈜에스엠인터내셔널","5","150621","8300"," ","5237"
"measureResultList.34"," "," ","경기도 용인시 기흥구 삼성로 1 (농서동)"," ","2018","삼성전자㈜기흥사업장","48","150183"," "," ","11852"
