"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," "," ","전라남도 광양시 제철로 2408 (금호동)","24833","2018","㈜피엠씨텍"," ","110054","23273"," ","14538"
"measureResultList.2"," ","714","전라남도 여수시 낙포단지길 45 (낙포동)"," ","2018","한국유에스지보랄㈜"," ","110006"," "," ","4722"
"measureResultList.3"," ","9358","전라남도 여수시 여수산단3로 2 (평여동)"," ","2018","여천NCC㈜여수1공장"," ","110010"," "," ","491863"
"measureResultList.4"," ","12909","전라남도 여수시 여수산단2로 55 (화치동)","140062","2018","㈜엘지화학(여수공장-화치)"," ","110014","2405"," ","465603"
"measureResultList.5"," ","2226","전라남도 여수시 여수산단2로 218 (화치동)","9574","2018","금호피앤비화학㈜1공장"," ","110015"," "," ","17137"
"measureResultList.6"," ","7909","전라남도 여수시 여수산단2로 46-20 (월하동)"," ","2018","여천NCC㈜여수2공장"," ","110020"," "," ","328371"
"measureResultList.7"," ","215045","전라남도 광양시 폭포사랑길 20-26 (금호동)","8896572","2018","㈜포스코 광양제철소","4024","110022","46"," ","10552533"
"measureResultList.8"," ","4660","전라남도 여수시 상암로 830-7 (낙포동)"," ","2018","㈜케이씨씨 여천공장"," ","110009"," "," ","100482"
"measureResultList.9"," "," ","전라남도 여수시 여수산단로 1121 (월내동)"," ","2018","㈜LG화학 VCM공장","82","110013","147"," ","3218"
"measureResultList.10"," ","15783","전라남도 여수시 여수산단4로 53 (중흥동)"," ","2018","롯데케미칼 주식회사 여수1공장"," ","110019"," "," ","358492"
"measureResultList.11"," "," ","전라남도 광양시 산업로 109 (태인동)"," ","2018","OCI㈜광양공장"," ","110026"," "," ","363502"
"measureResultList.12"," ","48772","전라남도 여수시 여수산단로 1203 (월내동)","2059738","2018","한국동서발전㈜ 호남화력본부"," ","110004"," "," ","2420189"
"measureResultList.13"," ","2210","전라남도 여수시 여수산단로 1232 (월내동)","2440","2018","㈜와이엔텍","1648","110028","1770"," ","55001"
"measureResultList.14"," ","939","전라남도 여수시 진달래길 310-73 (월내동)","5550","2018","케이씨환경서비스㈜-월내","1357","110029","2764"," ","30390"
"measureResultList.15"," ","153","전라남도 여수시 산단중앙로 409 (중흥동)","291","2018","미래환경에너지㈜ 슬러지자원화시설","336","110052","1191"," ","4932"
"measureResultList.16"," ","3088","전라남도 여수시 여수산단4로 129 (중흥동)"," ","2018","롯데엠시시 주식회사"," ","110051","1063"," ","18693"
"measureResultList.17","404"," ","전라남도 여수시 여수산단로 1384","194094","2018","남해화학㈜"," ","110001"," ","6"," "
"measureResultList.18"," ","10590","전라남도 여수시 여수산단2로 46-51 (월하동)","20126","2018","금호석유화학㈜ 여수제1에너지"," ","110027"," "," ","757180"
"measureResultList.19"," ","1369","전라남도 담양군 대전면 대치7길 80","1264","2018","한솔페이퍼텍주식회사","2726","112201","2808"," ","42291"
"measureResultList.20"," ","74","전라남도 무안군 삼향읍 삼향중앙로 140-51","576","2018","(유)남해환경","21","112003","3103"," ","10099"
"measureResultList.21"," ","607","전라남도 나주시 나주로 54 (송월동)"," ","2018","㈜엘지화학 나주공장"," ","112101","3614"," ","8865"
"measureResultList.22"," ","217","전라남도 장흥군 장평면 고정길 12"," ","2018","㈜이메디원","459","112202","1194"," ","4958"
"measureResultList.23"," ","72","전라남도 해남군 해남읍 호교길 73-265"," ","2018","해남군생활폐기물처리시설","372","112203","4073"," ","3851"
"measureResultList.24"," "," ","전라남도 광양시 제철로 2148-567 (금호동)"," ","2018","에스케이이엔에스 주식회사"," ","110035"," "," ","1042345"
"measureResultList.25"," ","59","전라남도 영암군 삼호읍 대아로 37","31","2018","영암군대불하수종말처리장소각시설","5","112004","562"," ","1251"
"measureResultList.26"," "," ","전라남도 순천시 해룡면 인덕로 300"," ","2018","현대제철㈜","446","110102"," "," "," "
"measureResultList.27"," ","1978","전라남도 광양시 명당2길 20 (태인동)","499","2018","피제이메탈"," ","110040"," "," "," "
"measureResultList.28"," ","39199","전라남도 장성군 장성읍 영천로 35"," ","2018","주식회사 고려시멘트"," ","112102"," "," ","780137"
"measureResultList.29"," "," ","전라남도 여수시 진달래길 310-88 (월내동)"," ","2018","오리온엔지니어드카본즈㈜"," ","110003"," "," ","539687"
"measureResultList.30"," ","9288","전라남도 여수시 여수산단4로 58 (중흥동)"," ","2018","㈜LG화학 용성공장"," ","110025","1197"," ","231000"
"measureResultList.31"," ","118194","전라남도 여수시 여수산단로 918 (적량동)","6513094","2018","지에스칼텍스㈜"," ","110002","732551"," ","3217489"
"measureResultList.32"," ","5891","전라남도 여수시 여수산단2로 284 (화치동)","150573","2018","한국바스프㈜ 여수공장","0","110021","757"," ","90555"
"measureResultList.33"," ","50","전라남도 여수시 여수산단로 951 (적량동)"," ","2018","㈜LG화학 SM공장"," ","110016"," "," ","962"
"measureResultList.34"," "," ","전라남도 여수시 상암로 963 (월내동)"," ","2018","휴켐스㈜ 여수공장"," ","110032"," "," ","167514"
"measureResultList.35"," ","512","전라남도 무안군 청계면 영산로 1525-26","298","2018","㈜동양환경","2707","112005","5279"," ","14098"
"measureResultList.36"," ","184","전라남도 무안군 무안읍 몽탄로 125-33","346","2018","무안환경관리센터","622","112007","3466"," ","8786"
"measureResultList.37"," ","51","전라남도 고흥군 도양읍 도양해안로 446-74","180","2018","고흥군폐기물처리장","304","112207","257"," ","4384"
"measureResultList.38"," ","7184","전라남도 광양시 제철로 2148-139 (금호동)"," ","2018","㈜SNNC"," ","110042"," "," "," "
"measureResultList.39"," ","32639","전라남도 여수시 여수산단2로 223-84 (화치동)","388485","2018","금호석유화학㈜ 여수제2에너지"," ","110044"," "," ","416269"
"measureResultList.40"," ","180","전라남도 담양군 담양읍 태봉로 228-73","74","2018","담양군생활폐기물소각장","252","112208","1075"," ","3910"
"measureResultList.41"," ","15856","전라남도 광양시 백운1로 48 (태인동)"," ","2018","㈜포스코케미칼 광양사무소"," ","110045"," "," ","357709"
"measureResultList.42"," ","45","전라남도 진도군 군내면 한의길 115","61","2018","진도군 환경관리센터","256","112205","309"," ","2362"
"measureResultList.43"," ","51176","전라남도 여수시 산단중앙로 145 (화치동)","1083969","2018","한화에너지㈜ 여수공장"," ","110046"," "," ","1490655"
"measureResultList.44"," ","210","전라남도 영암군 군서면 녹색환경길 374","113","2018","영암군 소각시설","250","112009","2092"," ","6701"
"measureResultList.45"," ","25234","전라남도 여수시 여수산단로 727","203541","2018","한국남동발전㈜ 여수발전본부"," ","110005"," "," ","819231"
