"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","29913","충청남도 서산시 대산읍 평신2로 182","1512321","2018","현대오일뱅크㈜"," ","170032","819"," ","2448642"
"measureResultList.2"," ","1798","충청남도 천안시 서북구 입장면 망향로 1112-84"," ","2018","에스지씨솔루션(주) 천안유리공장"," ","170044"," "," ","65617"
"measureResultList.3"," ","190","충청남도 금산군 제원면 금강로 1"," ","2018","한국타이어앤테크놀로지㈜ 금산공장","29","170046","846"," ","815"
"measureResultList.4"," ","608","충청남도 천안시 동남구 목천읍 학수소사길 142-42","456","2018","㈜영흥산업환경","448","170047","9757"," ","32231"
"measureResultList.5"," ","435224","충청남도 당진시 석문면 교로길 30","6412124","2018","한국동서발전㈜ 당진화력본부"," ","170048"," "," ","6580398"
"measureResultList.6"," ","860","충청남도 서천군 장항읍 장산로 209"," ","2018","㈜풍농 장항공장"," ","170051"," ","604"," "
"measureResultList.7"," "," ","충청남도 아산시 배방읍 이순신대로 841"," ","2018","한국토지주택공사 아산에너지사업단"," ","170721"," "," ","72606"
"measureResultList.8"," ","3485","충청남도 논산시 성동면 산업단지로5길 70"," ","2018","삼광글라스㈜ 논산공장"," ","170722"," "," ","69578"
"measureResultList.9"," ","185","충청남도 천안시 동남구 수신면 발산길 250","97","2018","천안시 맑은물사업소","3","170723","1956"," ","3250"
"measureResultList.10"," "," ","충청남도 서산시 대산읍 평신2로 182"," ","2018","현대코스모㈜"," ","170725"," "," ","83045"
"measureResultList.11"," ","625230","충청남도 태안군 원북면 발전로 457","6749145","2018","한국서부발전㈜ 태안발전본부"," ","170056"," "," ","7618770"
"measureResultList.12"," ","400","충청남도 당진시 송악읍 부곡공단1길 70"," ","2018","생고뱅이소바코리아㈜"," ","170057"," "," ","34589"
"measureResultList.13"," ","2295","충청남도 아산시 탕정면 탕정로 212"," ","2018","코닝정밀소재㈜"," ","170058"," "," ","189395"
"measureResultList.14"," ","425","충청남도 공주시 검상안길 331"," ","2018","공주시 생활폐기물처리사업소","1149","170059","731"," ","11813"
"measureResultList.15"," ","146","충청남도 서산시 대산읍 죽엽로 382","133","2018","㈜서광하이테크","46","170035","1194"," ","12697"
"measureResultList.16"," ","118","충청남도 태안군 태안읍 삭선길 354"," ","2018","태안군 환경관리센터","102","170061","1466"," ","7078"
"measureResultList.17"," ","539","충청남도 천안시 서북구 성거읍 천흥8길 19"," ","2018","㈜창광실업","2061","170039","1113"," ","33952"
"measureResultList.18"," ","302","충청남도 예산군 대흥면 차동로 1661-157","110","2018","예산군 맑은누리센터","869","170062","1669"," ","7688"
"measureResultList.19"," ","54","충청남도 논산시 은진면 버들길 137"," ","2018","논산시 생활폐기물소각시설","62","170063","888"," ","4963"
