"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","232","강원도 홍천군 홍천읍 느리울길 164","757","2019","홍천군폐기물처리시설","493","170111","103"," ","4754"
"measureResultList.2"," ","118","강원도 속초시 방축길 56 (대포동)","617","2019","속초시폐기물처리시설","1245","170113","3418"," ","11694"
"measureResultList.3"," ","110461","강원도 강릉시 옥계면 산계길 225"," ","2019","한라시멘트㈜(구.라파즈한라(옥계)","572","170090"," "," ","8370750"
"measureResultList.4"," ","13796","강원도 동해시 숫골길 17 (용정동)"," ","2019","DB메탈㈜ 동해공장"," ","170093"," "," "," "
"measureResultList.5"," ","212647","강원도 동해시 효자로 246 (삼화동)"," ","2019","쌍용양회공업㈜동해공장","2350","170095"," "," ","12204165"
"measureResultList.6"," ","266004","강원도 삼척시 동양길 20 (사직동)"," ","2019","㈜삼표시멘트 삼척공장(구.동양시멘트 삼척공장)","1052","170096"," "," ","10211091"
"measureResultList.7"," ","0","강원도 삼척시 신기면 강원남부로 2879"," ","2019","라파즈한라시멘트㈜신기공장"," ","170097"," "," ","0"
"measureResultList.8"," ","74275","강원도 영월군 한반도면 쌍용로 89"," ","2019","쌍용양회공업㈜영월공장","3135","170099"," "," ","4266875"
"measureResultList.9"," ","5647","강원도 정선군 신동읍 예미2길 26-17"," ","2019","태경산업㈜예미공장"," ","170103"," "," "," "
"measureResultList.10"," ","0","강원도 고성군 죽왕면 짱고개길 253"," ","2019","고성군농어촌폐기물종합처리시설","0","170105","0"," ","0"
"measureResultList.11"," ","7","강원도 횡성군 횡성읍 학오로 89"," ","2019","횡성군폐기물처리시설","41","170098","264"," ","3142"
"measureResultList.12"," ","960","강원도 춘천시 신동면 한치로 681","5118","2019","춘천도시형폐기물종합처리시설","254","170114","1095"," ","29997"
"measureResultList.13"," ","297","강원도 태백시 용정길 239 (통동)","4684","2019","태백시폐기물소각시설","1018","170115","345"," ","9738"
"measureResultList.14"," ","35313","강원도 동해시 공단4로 36","672070","2019","㈜지에스동해전력"," ","170117"," "," ","1469754"
"measureResultList.15"," ","293","강원도 원주시 지정면 신평로 2"," ","2019","한국중부발전㈜ 원주그린열병합발전소","2579","170116","5785"," ","42072"
"measureResultList.16"," ","27713","강원도 동해시 공단9로 145 (구호동)","1892562","2019","한국동서발전㈜ 동해바이오화력본부","276","170094","7865"," ","632754"
"measureResultList.17"," "," ","강원도 영월군 영월읍 중앙로 411"," ","2019","한국남부발전㈜ 영월발전본부"," ","170110"," "," ","133385"
"measureResultList.18"," ","86","강원도 인제군 북면 금강로 221"," ","2019","인제군 생활폐기물 소각시설","70","170107","249"," ","2780"
"measureResultList.19"," ","0","강원도 동해시 공단2로 16 (구호동)","0","2019","천지에너지㈜ 동해공장","0","170108","0"," ","0"
"measureResultList.20"," ","39","강원도 화천군 하남면 영서로 5799-132"," ","2019","화천군환경관리사업소","135","170104","4789"," ","6133"
"measureResultList.21"," ","348","강원도 양양군 양양읍 되넘이길 80"," ","2019","양양군생활폐기물소각시설","293","170109","4069"," ","3763"
"measureResultList.22"," ","23590","강원도 영월군 한반도면 화랏길 57"," ","2019","한일현대시멘트㈜영월공장","2542","170100"," "," ","5200261"
"measureResultList.23"," ","0","강원도 동해시 봉수로 160 (대진동)"," ","2019","동해시 생활환경센터","0","170106","0"," ","0"
"measureResultList.24"," ","17522","강원도 강릉시 강동면 염전길 99","51818","2019","한국남동발전㈜ 영동에코발전본부"," ","170091"," "," ","411495"
"measureResultList.25"," "," ","강원도 춘천시 동산면 원무동길 82"," ","2019","춘천에너지㈜"," ","170119"," "," ","183717"
"measureResultList.26"," ","133415","강원도 삼척시 원덕읍 삼척로 734","658471","2019","한국남부발전㈜ 삼척발전본부"," ","170118"," "," ","1916876"
"year","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019"
"brtcCode","9","9","9","9","9","9","9","9","9","9","9"
