"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","770","인천광역시 남동구 남동서로316번길 41 (남촌동)","493","2019","㈜이알지서비스","852","150133","2389"," ","29212"
"measureResultList.2"," "," ","인천광역시 연수구 송도미래로 150"," ","2019","앰코테크놀로지코리아㈜ (인천)","18","150639"," "," ","1858"
"measureResultList.3"," "," ","인천광역시 서구 거월로 61","141013","2019","수도권매립지관리공사"," ","150596"," "," ","128910"
"measureResultList.4"," ","919","인천광역시 남동구 앵고개로654번길 99","3512","2019","㈜그린스코","1228","150001","1703"," ","12025"
"measureResultList.5"," ","1155","인천광역시 서구 건지로153번길 54 (석남동)","1255","2019","㈜케이비아이텍","930","150044","16544"," ","25333"
"measureResultList.6"," ","185","인천광역시 서구 중봉대로386번길 9 (원창동)","323","2019","㈜에이티에너지","697","150132","32580"," ","7545"
"measureResultList.7"," ","1131","인천광역시 서구 가정로97번길 28","6","2019","동화기업㈜","15","150222","10956"," ","16833"
"measureResultList.8"," ","2874","인천광역시 남구 송림로307번길 132 (도화동)","1588","2019","이건에너지㈜","856","150003","32775"," ","60496"
"measureResultList.9"," ","124","인천광역시 부평구 새벌로 55 (청천동)"," ","2019","동서식품㈜","74","150295","2111"," ","16357"
"measureResultList.10"," "," ","인천광역시 부평구 부평대로 233"," ","2019","한국지엠㈜"," ","150296"," "," ","21643"
"measureResultList.11"," "," ","인천광역시 서구 봉수대로 212"," ","2019","㈜포레스코"," ","150297"," "," ","9593"
"measureResultList.12"," ","1167","인천광역시 서구 봉수대로 415 (원창동)","44468","2019","SK인천석유화학㈜"," ","150043"," "," ","665739"
"measureResultList.13"," ","243","인천광역시 연수구 인천신항대로892번길 50"," ","2019","송도자원순환센터","960","150759","2866"," ","1665"
"measureResultList.14"," "," ","인천광역시 남동구 논현고잔로 173 (고잔동)"," ","2019","㈜미래엔인천에너지"," ","150171"," "," ","3897"
"measureResultList.15"," ","682","인천광역시 부평구 백범로 584","1535","2019","인그리디언코리아(유) 부평공장"," ","150041"," "," ","13960"
"measureResultList.16"," "," ","인천광역시 서구 백범로 789 (가좌동)"," ","2019","케이지동부제철㈜인천공장","1","150170"," "," "," "
"measureResultList.17"," "," ","인천광역시 연수구 아카데미로51번길 37"," ","2019","인천종합에너지㈜"," ","150319"," "," ","124166"
"measureResultList.18"," ","101","인천광역시 중구 서해대로140번길 49"," ","2019","㈜씨디에스인천에너지","2333","150584","9747"," ","34423"
"measureResultList.19"," "," ","인천광역시 서구 중봉대로405번길 314 (원창동)"," ","2019","포스코에너지㈜"," ","150045"," "," ","796714"
"measureResultList.20"," "," ","인천광역시 서구 중봉대로405번길 411"," ","2019","한국중부발전㈜ 인천발전본부"," ","150047"," "," ","262914"
"measureResultList.21"," ","545","인천광역시 서구 사렴로65번길 24","49","2019","경인환경에너지㈜","542","150002","9072"," ","26769"
"measureResultList.22"," "," ","인천광역시 중구 월미로 116 (북성동1가)"," ","2019","대한제당"," ","150034"," "," ","19993"
"measureResultList.23"," ","109768","인천광역시 동구 중봉대로 63 (송현동)"," ","2019","현대제철㈜"," ","150035"," "," ","170470"
"measureResultList.24"," ","70064","인천광역시 동구 중봉대로 15 (송현동)"," ","2019","동국제강㈜"," ","150036"," "," ","6496"
"measureResultList.25"," "," ","인천광역시 중구 서해대로140번길 49"," ","2019","씨제이제일제당㈜ 인천2공장"," ","150225"," "," ","7172"
"measureResultList.26"," ","972","인천광역시 연수구 인천신항대로892번길 50 (송도동)"," ","2019","인천환경공단 송도사업소","366","150152","8317"," ","17472"
"measureResultList.27"," ","3483","인천광역시 중구 월미로 96 (북성동1가)","1365","2019","선창산업㈜","99","150031","2134"," ","55933"
"measureResultList.28"," "," ","인천광역시 중구 아암대로 20 (신흥동3가)"," ","2019","씨제이제일제당㈜ 인천1공장"," ","150033"," "," ","18423"
"measureResultList.29"," "," ","인천광역시 서구 장도로 57 (경서동)"," ","2019","한국남부발전㈜ 신인천발전본부"," ","150048"," "," ","533163"
"measureResultList.30"," "," ","인천광역시 서구 장도로 57 (경서동)"," ","2019","한국서부발전㈜ 서인천발전본부"," ","150049"," "," ","384775"
"measureResultList.31"," ","859","인천광역시 서구 백범로 726","24463","2019","㈜삼양사 인천1공장"," ","150050"," "," ","16489"
"measureResultList.32"," "," ","인천광역시 중구 영종해안북로1050번길 78-43 (운서동)"," ","2019","인천공항에너지㈜"," ","150052"," "," ","200476"
"measureResultList.33"," ","1243","인천광역시 서구 로봇랜드로249번길 38 (경서동)"," ","2019","인천환경공단 청라사업소","396","150053","10287"," ","41898"
"measureResultList.34"," ","188924","인천광역시 옹진군 영흥면 영흥남로293번길 75","4948205","2019","한국남동발전㈜ 영흥발전본부"," ","150102"," "," ","3717383"
"measureResultList.35"," ","351","인천광역시 중구 영종해안북로1050번길 78-13 (운서동)"," ","2019","인천국제공항공사","579","150054","1228"," ","2539"
"measureResultList.36"," ","0","인천광역시 강화군 강화읍 해안북로 94"," ","2019","강화군소각장","0","150134","0"," ","0"
"measureResultList.37"," ","0","인천광역시 서구 원전로59번길 23 (경서동)"," ","2019","경인금속공업㈜"," ","150153"," "," "," "
"year","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019"
"brtcCode","4","4","4","4","4","4","4","4","4","4","4"
