"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","25860","제주특별자치도 제주시 원당로 133 (삼양일동)","212797","2019","한국중부발전㈜제주발전본부"," ","114001"," "," ","1701863"
"measureResultList.2"," ","14521","제주특별자치도 서귀포시 안덕면 화순해안로106번길 55","67142","2019","한국남부발전㈜남제주발전본부"," ","114002"," "," ","279384"
"measureResultList.3"," ","248","제주특별자치도 서귀포시 산록남로1241번길 163 (색달동)","3","2019","제주도남부광역환경관리센터","387","114004","5248"," ","3200"
"measureResultList.4"," ","973","제주특별자치도 제주시 송이길 225-66 (회천동)","66","2019","제주도북부광역환경관리센터","3089","114003","21815"," ","16811"
"measureResultList.5"," ","126","제주특별자치도 제주시 한림읍 금능농공길 62-16","219","2019","㈜월자제지","40","114008","606"," ","8230"
"measureResultList.6"," ","53","제주특별자치도 서귀포시 대정읍 일주서로3000번길 137-19","782","2019","㈜제주페이퍼텍","33","114007","3107"," ","9333"
"measureResultList.7"," ","143","제주특별자치도 제주시 구좌읍 조천우회로 982-72","84","2019","제주환경자원순환센터","332","114009","178"," ","1271"
"year","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019"
"brtcCode","16","16","16","16","16","16","16","16","16","16","16"
