date,ecosenti,ecosenti_pchange,cycle_ecosenti,cycle_ecosenti_pchange
2003/01,99.3,N/A,94.4,N/A
2003/02,100.5,1.2,94,-0.4
2003/03,90.1,-10.3,93.8,-0.2
2003/04,96.1,6.7,94,0.2
2003/05,94.1,-2.1,94.4,0.4
2003/06,90.8,-3.5,95.2,0.8
2003/07,90.3,-0.6,96.1,0.9
2003/08,97,7.4,97.1,1
2003/09,97.1,0.1,98,0.9
2003/10,97,-0.1,98.9,0.9
2003/11,101.3,4.4,99.6,0.7
2003/12,101.1,-0.2,100.1,0.5
2004/01,104.5,3.4,100.3,0.2
2004/02,105.4,0.9,100.2,-0.1
2004/03,104,-1.3,99.9,-0.3
2004/04,106.7,2.6,99.4,-0.5
2004/05,97.4,-8.7,98.8,-0.6
2004/06,94.8,-2.7,98,-0.8
2004/07,93.5,-1.4,97.2,-0.8
2004/08,94.4,1,96.4,-0.8
2004/09,96,1.7,95.7,-0.7
2004/10,93.5,-2.6,95.2,-0.5
2004/11,90,-3.7,95.2,0
2004/12,88.1,-2.1,95.7,0.5
2005/01,93.2,5.8,96.8,1.1
2005/02,106.5,14.3,98.3,1.5
2005/03,109.3,2.6,99.8,1.5
2005/04,109,-0.3,101.3,1.5
2005/05,102,-6.4,102.5,1.2
2005/06,100.4,-1.6,103.6,1.1
2005/07,97.2,-3.2,104.6,1
2005/08,101.7,4.6,105.6,1
2005/09,105.2,3.4,106.6,0.9
2005/10,103.7,-1.4,107.6,0.9
2005/11,107.9,4.1,108.7,1
2005/12,110.8,2.7,109.5,0.7
2006/01,113.6,2.5,110.1,0.5
2006/02,115.1,1.3,110.4,0.3
2006/03,116,0.8,110.2,-0.2
2006/04,114.4,-1.4,109.7,-0.5
2006/05,108,-5.6,109,-0.6
2006/06,102.8,-4.8,108.2,-0.7
2006/07,101.6,-1.2,107.5,-0.6
2006/08,103.9,2.3,107,-0.5
2006/09,105.6,1.6,106.7,-0.3
2006/10,108,2.3,106.7,0
2006/11,108.1,0.1,106.9,0.2
2006/12,105.8,-2.1,107.4,0.5
2007/01,104.6,-1.1,108.1,0.7
2007/02,111.4,6.5,109.1,0.9
2007/03,111.9,0.4,110.2,1
2007/04,113.5,1.4,111.5,1.2
2007/05,112.8,-0.6,112.6,1
2007/06,111.5,-1.2,113.5,0.8
2007/07,113.2,1.5,114.1,0.5
2007/08,115.6,2.1,114.3,0.2
2007/09,114.6,-0.9,114,-0.3
2007/10,113.3,-1.1,113.4,-0.5
2007/11,112.5,-0.7,112.5,-0.8
2007/12,109.5,-2.7,111.2,-1.2
2008/01,109.8,0.3,109.6,-1.4
2008/02,112.3,2.3,107.8,-1.6
2008/03,105.1,-6.4,105.7,-1.9
2008/04,106.6,1.4,103.3,-2.3
2008/05,102.2,-4.1,100.4,-2.8
2008/06,96.9,-5.2,97.1,-3.3
2008/07,91.6,-5.5,93.2,-4
2008/08,100.1,9.3,89,-4.5
2008/09,95.9,-4.2,84.3,-5.3
2008/10,79.8,-16.8,79.7,-5.5
2008/11,68,-14.8,75.8,-4.9
2008/12,57.3,-15.7,73.4,-3.2
2009/01,64.1,11.9,73,-0.5
2009/02,67,4.5,74.5,2.1
2009/03,70.4,5.1,77.8,4.4
2009/04,88,25,82.3,5.8
2009/05,93.3,6,87.5,6.3
2009/06,96.8,3.8,92.6,5.8
2009/07,97.6,0.8,97.5,5.3
2009/08,106.6,9.2,101.7,4.3
2009/09,108,1.3,105.2,3.4
2009/10,110.5,2.3,108,2.7
2009/11,106.8,-3.3,110.1,1.9
2009/12,108.5,1.6,111.6,1.4
2010/01,111.6,2.9,112.8,1.1
2010/02,115,3,113.5,0.6
2010/03,113.9,-1,113.9,0.4
2010/04,115.3,1.2,114.1,0.2
2010/05,114.6,-0.6,114.1,0
2010/06,113.5,-1,113.9,-0.2
2010/07,113.3,-0.2,113.7,-0.2
2010/08,112.1,-1.1,113.4,-0.3
2010/09,112.4,0.3,113,-0.4
2010/10,110.2,-2,112.6,-0.4
2010/11,111.5,1.2,112.1,-0.4
2010/12,109.9,-1.4,111.5,-0.5
2011/01,109.7,-0.2,110.7,-0.7
2011/02,111.4,1.5,109.9,-0.7
2011/03,107.8,-3.2,109,-0.8
2011/04,111.5,3.4,108.2,-0.7
2011/05,109.6,-1.7,107.4,-0.7
2011/06,106.4,-2.9,106.7,-0.7
2011/07,105.6,-0.8,105.9,-0.7
2011/08,104.1,-1.4,105.2,-0.7
2011/09,103.9,-0.2,104.4,-0.8
2011/10,101.8,-2,103.7,-0.7
2011/11,101.8,0,102.9,-0.8
2011/12,97.6,-4.1,102.2,-0.7
2012/01,98.8,1.2,101.5,-0.7
2012/02,102.6,3.8,100.9,-0.6
2012/03,103.9,1.3,100.3,-0.6
2012/04,107.4,3.4,99.5,-0.8
2012/05,103.3,-3.8,98.4,-1.1
2012/06,98.5,-4.6,97.2,-1.2
2012/07,94,-4.6,95.9,-1.3
2012/08,92.3,-1.8,94.7,-1.3
2012/09,91.2,-1.2,93.6,-1.2
2012/10,89.1,-2.3,92.7,-1
2012/11,88.2,-1,92.2,-0.5
2012/12,88.8,0.7,91.9,-0.3
2013/01,92.1,3.7,92,0.1
2013/02,94.1,2.2,92.2,0.2
2013/03,96.3,2.3,92.6,0.4
2013/04,95.9,-0.4,93,0.4
2013/05,95.2,-0.7,93.5,0.5
2013/06,94.3,-0.9,94.1,0.6
2013/07,93.5,-0.8,94.7,0.6
2013/08,93.2,-0.3,95.3,0.6
2013/09,94,0.9,95.9,0.6
2013/10,95.6,1.7,96.5,0.6
2013/11,95.7,0.1,97,0.5
2013/12,95.7,0,97.3,0.3
2014/01,98.3,2.7,97.4,0.1
2014/02,100.5,2.2,97.4,0
2014/03,98.9,-1.6,97.2,-0.2
2014/04,100.3,1.4,97,-0.2
2014/05,98.8,-1.5,96.7,-0.3
2014/06,95.1,-3.7,96.5,-0.2
2014/07,93.1,-2.1,96.4,-0.1
2014/08,95.4,2.5,96.4,0
2014/09,98.2,2.9,96.5,0.1
2014/10,93.4,-4.9,96.5,0
2014/11,95,1.7,96.6,0.1
2014/12,94.1,-0.9,96.7,0.1
2015/01,95.8,1.8,96.7,0
2015/02,100.6,5,96.7,0
2015/03,98.9,-1.7,96.6,-0.1
2015/04,101.3,2.4,96.3,-0.3
2015/05,99.6,-1.7,95.8,-0.5
2015/06,88.9,-10.7,95.3,-0.5
2015/07,92.8,4.4,94.9,-0.4
2015/08,94.3,1.6,94.5,-0.4
2015/09,93.9,-0.4,94,-0.5
2015/10,94.5,0.6,93.5,-0.5
2015/11,94.3,-0.2,92.9,-0.6
2015/12,91.1,-3.4,92.3,-0.6
2016/01,91.1,0,91.7,-0.7
2016/02,89.8,-1.4,91.3,-0.4
2016/03,91.5,1.9,91.2,-0.1
2016/04,94.4,3.2,91.5,0.3
2016/05,92.5,-2,92,0.5
2016/06,92.2,-0.3,92.6,0.7
2016/07,93.5,1.4,93.2,0.6
2016/08,95.6,2.2,93.8,0.6
2016/09,95,-0.6,94.2,0.4
2016/10,93.7,-1.4,94.4,0.2
2016/11,93.2,-0.5,94.6,0.2
2016/12,91.6,-1.7,94.8,0.2
2017/01,93.7,2.3,95,0.2
2017/02,95.6,2,95.1,0.1
