"date","ecosenti"
"2003/03",90.1
"2003/06",90.8
"2003/09",97.1
"2003/12",101.1
"2004/03",104
"2004/06",94.8
"2004/09",96
"2004/12",88.1
"2005/03",109.3
"2005/06",100.4
"2005/09",105.2
"2005/12",110.8
"2006/03",116
"2006/06",102.8
"2006/09",105.6
"2006/12",105.8
"2007/03",111.9
"2007/06",111.5
"2007/09",114.6
"2007/12",109.5
"2008/03",105.1
"2008/06",96.9
"2008/09",95.9
"2008/12",57.3
"2009/03",70.4
"2009/06",96.8
"2009/09",108
"2009/12",108.5
"2010/03",113.9
"2010/06",113.5
"2010/09",112.4
"2010/12",109.9
"2011/03",107.8
"2011/06",106.4
"2011/09",103.9
"2011/12",97.6
"2012/03",103.9
"2012/06",98.5
"2012/09",91.2
"2012/12",88.8
"2013/03",96.3
"2013/06",94.3
"2013/09",94
"2013/12",95.7
"2014/03",98.9
"2014/06",95.1
"2014/09",98.2
"2014/12",94.1
"2015/03",98.9
"2015/06",88.9
"2015/09",93.9
"2015/12",91.1
"2016/03",91.5
"2016/06",92.2
"2016/09",95
"2016/12",91.6
