week,dept_usa
2/19/2012,26
2/26/2012,26
3/4/2012,25
3/11/2012,27
3/18/2012,26
3/25/2012,28
4/1/2012,29
4/8/2012,25
4/15/2012,27
4/22/2012,30
4/29/2012,29
5/6/2012,30
5/13/2012,27
5/20/2012,28
5/27/2012,29
6/3/2012,27
6/10/2012,30
6/17/2012,27
6/24/2012,25
7/1/2012,30
7/8/2012,26
7/15/2012,25
7/22/2012,25
7/29/2012,25
8/5/2012,25
8/12/2012,27
8/19/2012,26
8/26/2012,26
9/2/2012,28
9/9/2012,25
9/16/2012,26
9/23/2012,27
9/30/2012,28
10/7/2012,28
10/14/2012,27
10/21/2012,25
10/28/2012,24
11/4/2012,32
11/11/2012,37
11/18/2012,61
11/25/2012,51
12/2/2012,45
12/9/2012,46
12/16/2012,51
12/23/2012,52
12/30/2012,35
1/6/2013,28
1/13/2013,25
1/20/2013,25
1/27/2013,24
2/3/2013,25
2/10/2013,26
2/17/2013,26
2/24/2013,24
3/3/2013,25
3/10/2013,26
3/17/2013,26
3/24/2013,28
3/31/2013,27
4/7/2013,26
4/14/2013,26
4/21/2013,28
4/28/2013,27
5/5/2013,28
5/12/2013,26
5/19/2013,26
5/26/2013,27
6/2/2013,25
6/9/2013,28
6/16/2013,24
6/23/2013,24
6/30/2013,28
7/7/2013,25
7/14/2013,23
7/21/2013,24
7/28/2013,24
8/4/2013,25
8/11/2013,27
8/18/2013,25
8/25/2013,24
9/1/2013,28
9/8/2013,22
9/15/2013,24
9/22/2013,25
9/29/2013,27
10/6/2013,28
10/13/2013,29
10/20/2013,30
10/27/2013,28
11/3/2013,32
11/10/2013,36
11/17/2013,41
11/24/2013,69
12/1/2013,58
12/8/2013,57
12/15/2013,56
12/22/2013,62
12/29/2013,41
1/5/2014,30
1/12/2014,28
1/19/2014,28
1/26/2014,27
2/2/2014,27
2/9/2014,29
2/16/2014,29
2/23/2014,26
3/2/2014,27
3/9/2014,29
3/16/2014,27
3/23/2014,28
3/30/2014,30
4/6/2014,28
4/13/2014,30
4/20/2014,28
4/27/2014,32
5/4/2014,34
5/11/2014,28
5/18/2014,29
5/25/2014,30
6/1/2014,28
6/8/2014,32
6/15/2014,27
6/22/2014,26
6/29/2014,32
7/6/2014,28
7/13/2014,27
7/20/2014,27
7/27/2014,27
8/3/2014,30
8/10/2014,30
8/17/2014,28
8/24/2014,28
8/31/2014,31
9/7/2014,26
9/14/2014,28
9/21/2014,28
9/28/2014,28
10/5/2014,30
10/12/2014,31
10/19/2014,30
10/26/2014,29
11/2/2014,34
11/9/2014,39
11/16/2014,46
11/23/2014,71
11/30/2014,62
12/7/2014,55
12/14/2014,60
12/21/2014,64
12/28/2014,45
1/4/2015,32
1/11/2015,30
1/18/2015,27
1/25/2015,27
2/1/2015,28
2/8/2015,29
2/15/2015,30
2/22/2015,26
3/1/2015,27
3/8/2015,28
3/15/2015,27
3/22/2015,27
3/29/2015,30
4/5/2015,28
4/12/2015,28
4/19/2015,27
4/26/2015,29
5/3/2015,31
5/10/2015,27
5/17/2015,28
5/24/2015,30
5/31/2015,28
6/7/2015,27
6/14/2015,30
6/21/2015,27
6/28/2015,32
7/5/2015,30
7/12/2015,29
7/19/2015,28
7/26/2015,27
8/2/2015,28
8/9/2015,29
8/16/2015,27
8/23/2015,27
8/30/2015,30
9/6/2015,32
9/13/2015,28
9/20/2015,28
9/27/2015,30
10/4/2015,32
10/11/2015,30
10/18/2015,31
10/25/2015,29
11/1/2015,31
11/8/2015,36
11/15/2015,42
11/22/2015,75
11/29/2015,64
12/6/2015,54
12/13/2015,60
12/20/2015,69
12/27/2015,52
1/3/2016,36
1/10/2016,31
1/17/2016,32
1/24/2016,34
1/31/2016,37
2/7/2016,40
2/14/2016,41
2/21/2016,37
2/28/2016,37
3/6/2016,37
3/13/2016,38
3/20/2016,42
3/27/2016,40
4/3/2016,38
4/10/2016,39
4/17/2016,36
4/24/2016,41
5/1/2016,45
5/8/2016,40
5/15/2016,38
5/22/2016,40
5/29/2016,44
6/5/2016,40
6/12/2016,43
6/19/2016,38
6/26/2016,40
7/3/2016,44
7/10/2016,40
7/17/2016,37
7/24/2016,36
7/31/2016,40
8/7/2016,41
8/14/2016,38
8/21/2016,36
8/28/2016,37
9/4/2016,41
9/11/2016,36
9/18/2016,36
9/25/2016,40
10/2/2016,39
10/9/2016,38
10/16/2016,37
10/23/2016,38
10/30/2016,38
11/6/2016,41
11/13/2016,51
11/20/2016,100
11/27/2016,82
12/4/2016,71
12/11/2016,77
12/18/2016,80
12/25/2016,67
1/1/2017,52
1/8/2017,41
1/15/2017,37
1/22/2017,34
1/29/2017,35
2/5/2017,38
2/12/2017,35
