index,종목코드,종목명,,,,,,
1,5930,삼성전자,,,,,,
2,660,SK하이닉스,,,,,,
3,51910,LG화학,,,,,,
4,35420,NAVER,,,,,,
5,207940,삼성바이오로직스,,,,,,
6,6400,삼성SDI,,,,,,
7,5380,현대차,,,,,,
8,68270,셀트리온,,,,,,
9,35720,카카오,,,,,,
10,270,기아차,,,,,,
11,12330,현대모비스,,,,,,
12,96770,SK이노베이션,,,,,,
13,66570,LG전자,,,,,,
14,51900,LG생활건강,,,,,,
15,28260,삼성물산,,,,,,
16,34730,SK,,,,,,
17,91990,셀트리온헬스케어,,,,,,
18,5490,POSCO,,,,,,
19,36570,엔씨소프트,,,,,,
20,17670,SK텔레콤,,,,,,
21,3550,LG,,,,,,
22,105560,KB금융,,,,,,
23,55550,신한지주,,,,,,
24,9150,삼성전기,,,,,,
25,18260,삼성에스디에스,,,,,,
26,15760,한국전력,,,,,,
27,32830,삼성생명,,,,,,
28,90430,아모레퍼시픽,,,,,,
29,326030,SK바이오팜,,,,,,
30,251270,넷마블,,,,,,
31,33780,KT&G,,,,,,
32,86790,하나금융지주,,,,,,
33,11170,롯데케미칼,,,,,,
34,18880,한온시스템,,,,,,
35,3670,포스코케미칼,,,,,,
36,9830,한화솔루션,,,,,,
37,810,삼성화재,,,,,,
38,34220,LG디스플레이,,,,,,
39,10950,S-Oil,,,,,,
40,10130,고려아연,,,,,,
41,11780,금호석유,,,,,,
42,352820,빅히트,,,,,,
43,86280,현대글로비스,,,,,,
44,9540,한국조선해양,,,,,,
45,97950,CJ제일제당,,,,,,
46,316140,우리금융지주,,,,,,
47,68760,셀트리온제약,,,,,,
48,30200,KT,,,,,,
49,6800,미래에셋대우,,,,,,
50,24110,기업은행,,,,,,
51,8930,한미사이언스,,,,,,
52,32640,LG유플러스,,,,,,
53,4020,현대제철,,,,,,
54,21240,코웨이,,,,,,
55,161390,한국타이어앤테크놀로지,,,,,,
56,35250,강원랜드,,,,,,
57,3490,대한항공,,,,,,
58,6280,녹십자,,,,,,
59,285130,SK케미칼,,,,,,
60,2790,아모레G,,,,,,
61,28300,에이치엘비,,,,,,
62,271560,오리온,,,,,,
63,11070,LG이노텍,,,,,,
64,128940,한미약품,,,,,,
65,100,유한양행,,,,,,
66,11790,SKC,,,,,,
67,139480,이마트,,,,,,
68,71050,한국금융지주,,,,,,
69,720,현대건설,,,,,,
70,11200,HMM,,,,,,
71,34020,두산중공업,,,,,,
72,96530,씨젠,,,,,,
73,19170,신풍제약,,,,,,
74,263750,펄어비스,,,,,,
75,180640,한진칼,,,,,,
76,10140,삼성중공업,,,,,,
77,247540,에코프로비엠,,,,,,
78,120,CJ대한통운,,,,,,
79,196170,알테오젠,,,,,,
80,267250,현대중공업지주,,,,,,
81,336260,두산퓨얼셀,,,,,,
82,39490,키움증권,,,,,,
83,293490,카카오게임즈,,,,,,
84,29780,삼성카드,,,,,,
85,4990,롯데지주,,,,,,
86,16360,삼성증권,,,,,,
87,78930,GS,,,,,,
88,35760,CJ ENM,,,,,,
89,20150,일진머티리얼즈,,,,,,
90,3410,쌍용양회,,,,,,
91,204320,만도,,,,,,
92,36490,SK머티리얼즈,,,,,,
93,8770,호텔신라,,,,,,
94,5940,NH투자증권,,,,,,
95,6360,GS건설,,,,,,
96,26960,동서,,,,,,
97,12750,에스원,,,,,,
98,32500,케이엠더블유,,,,,,
99,241560,두산밥캣,,,,,,
100,47810,한국항공우주,,,,,,
101,12510,더존비즈온,,,,,,
102,23530,롯데쇼핑,,,,,,
103,253450,스튜디오드래곤,,,,,,
104,282330,BGF리테일,,,,,,
105,36460,한국가스공사,,,,,,
106,112610,씨에스윈드,,,,,,
107,1040,CJ,,,,,,
108,990,DB하이텍,,,,,,
109,3090,대웅,,,,,,
110,7070,GS리테일,,,,,,
