"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1","060310","3S",2645,70,2.72,NA,NA,745,3.55,0,0
"2","095570","AJ네트웍스",4870,-150,-2.99,982,4.96,6802,0.72,300,6.16
"3","006840","AK홀딩스",28800,900,3.23,2168,13.28,62448,0.46,750,2.6
"4","054620","APS홀딩스",10050,450,4.69,NA,NA,10530,0.95,0,0
"5","265520","AP시스템",30150,200,0.67,671,44.93,7468,4.04,50,0.17
"6","211270","AP위성",15000,-350,-2.28,51,294.12,5479,2.74,70,0.47
"7","027410","BGF",7620,20,0.26,281,27.12,15699,0.49,110,1.44
"8","282330","BGF리테일",159000,-2000,-1.24,8763,18.14,36022,4.41,2700,1.7
"9","138930","BNK금융지주",6760,-40,-0.59,1647,4.1,25415,0.27,360,5.33
"10","001460","BYC",381500,1500,0.39,33265,11.47,517079,0.74,1100,0.29
"11","001465","BYC우",162500,1000,0.62,NA,NA,NA,NA,1150,0.71
"12","001040","CJ",92900,300,0.32,8240,11.27,126448,0.73,1850,1.99
"13","079160","CJ CGV",26900,-100,-0.37,NA,NA,11590,2.32,0,0
"14","035760","CJ ENM",140600,100,0.07,5310,26.48,134364,1.05,1400,1
"15","00104K","CJ4우(전환)",74000,-500,-0.67,NA,NA,NA,NA,1900,2.57
"16","000120","CJ대한통운",179000,-4000,-2.19,1349,132.69,131146,1.36,0,0
"17","011150","CJ씨푸드",5050,200,4.12,51,99.02,1781,2.84,0,0
"18","011155","CJ씨푸드1우",37900,150,0.4,NA,NA,NA,NA,0,0
"19","001045","CJ우",57300,-100,-0.17,NA,NA,NA,NA,1900,3.32
"20","097950","CJ제일제당",405000,-3000,-0.74,9516,42.56,297949,1.36,3500,0.86
"21","097955","CJ제일제당 우",185500,1000,0.54,NA,NA,NA,NA,3550,1.91
"22","051500","CJ프레시웨이",23950,50,0.21,434,55.18,16967,1.41,250,1.04
"23","058820","CMG제약",4605,95,2.11,25,184.2,1297,3.55,0,0
"24","023460","CNH",3025,-20,-0.66,424,7.13,2811,1.08,30,0.99
"25","056000","COWON",2860,0,0,NA,NA,1229,2.33,0,0
"26","065770","CS",3540,815,29.91,NA,NA,1155,3.06,0,0
"27","083660","CSA 코스믹",1450,0,0,NA,NA,836,1.73,0,0
"28","000590","CS홀딩스",66400,1900,2.95,8435,7.87,195584,0.34,500,0.75
"29","012030","DB",920,-3,-0.33,23,40,1049,0.88,0,0
"30","367340","DB금융스팩8호",2075,0,0,NA,NA,NA,NA,0,0
"31","367360","DB금융스팩9호",2050,0,0,NA,NA,NA,NA,0,0
"32","016610","DB금융투자",6680,-120,-1.76,1172,5.7,16484,0.41,250,3.74
"33","005830","DB손해보험",46250,0,0,5966,7.75,84026,0.55,1500,3.24
"34","000990","DB하이텍",56100,200,0.36,2410,23.28,14483,3.87,350,0.62
"35","000995","DB하이텍1우",110500,-3000,-2.64,NA,NA,NA,NA,400,0.36
"36","139130","DGB금융지주",8220,-50,-0.6,1900,4.33,27296,0.3,410,4.99
"37","001530","DI동일",165500,3500,2.16,6765,24.46,195965,0.84,1500,0.91
"38","000210","DL",86700,1300,1.52,17223,5.03,153815,0.56,1300,1.5
"39","001880","DL건설",36950,1150,3.21,6265,5.9,30161,1.23,400,1.08
"40","000215","DL우",43550,450,1.04,NA,NA,NA,NA,1350,3.1
"41","375500","DL이앤씨",127000,4000,3.25,NA,NA,NA,NA,0,0
"42","37550K","DL이앤씨우",75400,1700,2.31,NA,NA,NA,NA,0,0
"43","068790","DMS",8630,-80,-0.92,768,11.24,7205,1.2,75,0.87
"44","004840","DRB동일",6700,70,1.06,461,14.53,17771,0.38,100,1.49
"45","241520","DSC인베스트먼트",7020,-30,-0.43,233,30.13,1343,5.23,0,0
"46","155660","DSR",6150,110,1.82,546,11.26,9613,0.64,50,0.81
"47","069730","DSR제강",5930,180,3.13,469,12.64,9851,0.6,40,0.67
"48","017940","E1",44700,-150,-0.33,NA,NA,166288,0.27,2200,4.92
"49","245620","EDGC",4910,45,0.92,NA,NA,560,8.77,0,0
"50","037370","EG",11350,-350,-2.99,NA,NA,4426,2.56,0,0
"51","079190","EMW",2780,0,0,120,23.17,971,2.86,0,0
"52","007700","F&F",145500,0,0,7158,20.33,31366,4.64,1000,0.69
"53","130500","GH신소재",6700,230,3.55,204,32.84,3899,1.72,0,0
"54","114090","GKL",16050,-300,-1.83,1170,13.72,9460,1.7,659,4.11
"55","078930","GS",39050,150,0.39,5745,6.8,93746,0.42,1900,4.87
"56","083450","GST",26200,-1000,-3.68,2010,13.03,10657,2.46,200,0.76
"57","006360","GS건설",45400,2750,6.45,5590,8.12,49623,0.91,1000,2.2
"58","001250","GS글로벌",2535,-30,-1.17,NA,NA,4351,0.58,0,0
"59","007070","GS리테일",37650,150,0.4,1729,21.78,28232,1.33,750,1.99
"60","078935","GS우",33000,200,0.61,NA,NA,NA,NA,1950,5.91
"61","028150","GS홈쇼핑",151700,500,0.33,18339,8.27,174659,0.87,6500,4.28
"62","045890","GV",240,0,0,NA,NA,811,0.3,0,0
"63","078150","HB테크놀러지",3830,0,0,41,93.41,2025,1.89,20,0.52
"64","012630","HDC",12600,400,3.28,4460,2.83,36131,0.35,200,1.59
"65","039570","HDC아이콘트롤스",10300,100,0.98,NA,NA,10245,1.01,350,3.4
"66","089470","HDC현대EP",6290,60,0.96,445,14.13,8886,0.71,120,1.91
"67","294870","HDC현대산업개발",29800,400,1.36,8731,3.41,47095,0.63,500,1.68
"68","011200","HMM",30500,0,0,NA,NA,3420,8.92,0,0
"69","036640","HRS",5960,0,0,60,99.33,4475,1.33,0,0
"70","082740","HSD엔진",9100,320,3.64,NA,NA,5722,1.59,0,0
"71","335870","IBKS제12호스팩",2165,0,0,NA,NA,NA,NA,0,0
"72","351340","IBKS제13호스팩",2130,30,1.43,NA,NA,NA,NA,0,0
"73","351320","IBKS제14호스팩",2130,-5,-0.23,NA,NA,NA,NA,0,0
"74","373200","IBKS제15호스팩",2115,0,0,NA,NA,NA,NA,0,0
"75","003560","IHQ",2430,55,2.32,NA,NA,933,2.6,0,0
"76","095340","ISC",21650,-550,-2.48,311,69.61,12011,1.8,50,0.23
"77","099520","ITX-AI",1285,0,0,NA,NA,598,2.15,0,0
"78","175330","JB금융지주",6600,20,0.3,1641,4.02,17615,0.37,300,4.55
"79","234080","JW생명과학",18550,-50,-0.27,1385,13.39,7744,2.4,500,2.7
"80","067290","JW신약",5400,-20,-0.37,33,163.64,1514,3.57,60,1.11
"81","001060","JW중외제약",29300,0,0,NA,NA,10059,2.91,325,1.11
"82","001067","JW중외제약2우B",64100,-900,-1.38,NA,NA,NA,NA,350,0.55
"83","001065","JW중외제약우",36650,650,1.81,NA,NA,NA,NA,350,0.95
"84","096760","JW홀딩스",4735,15,0.32,NA,NA,2191,2.16,90,1.9
"85","035900","JYP Ent.",34950,-50,-0.14,947,36.91,4477,7.81,155,0.44
"86","024840","KBI메탈",2320,-95,-3.93,196,11.84,2735,0.85,0,0
"87","105560","KB금융",52800,-800,-1.49,8451,6.25,92672,0.57,2210,4.19
"88","024120","KB오토시스",10200,200,2,930,10.97,8912,1.14,230,2.25
"89","002380","KCC",273500,12500,4.79,NA,NA,421723,0.65,5500,2.01
"90","021320","KCC건설",9960,740,8.03,1319,7.55,17642,0.56,150,1.51
"91","036670","KCI",9710,220,2.32,1061,9.15,5775,1.68,200,2.06
"92","009070","KCTC",6090,0,0,239,25.48,6409,0.95,45,0.74
"93","009440","KC그린홀딩스",5000,50,1.01,369,13.55,7996,0.63,60,1.2
"94","119650","KC코트렐",8990,120,1.35,149,60.34,5805,1.55,30,0.33
"95","044180","KD",1370,145,11.84,NA,NA,2170,0.63,0,0
"96","092220","KEC",2320,0,0,NA,NA,1782,1.3,0,0
"97","151860","KG ETS",6460,180,2.87,2789,2.32,6733,0.96,110,1.7
"98","016380","KG동부제철",16100,300,1.9,NA,NA,8886,1.81,0,0
"99","016385","KG동부제철우",121000,2500,2.11,NA,NA,NA,NA,0,0
"100","046440","KG모빌리언스",10400,100,0.97,619,16.8,7541,1.38,200,1.92
"101","035600","KG이니시스",20350,-100,-0.49,1847,11.02,8937,2.28,330,1.62
"102","001390","KG케미칼",27950,250,0.9,7691,3.63,26210,1.07,350,1.25
"103","060720","KH바텍",22000,0,0,NA,NA,7998,2.75,0,0
"104","001940","KISCO홀딩스",18100,0,0,2909,6.22,44246,0.41,280,1.55
"105","122450","KMH",11850,-50,-0.42,334,35.48,4835,2.45,70,0.59
"106","052900","KMH하이텍",2165,-5,-0.23,48,45.1,1358,1.59,0,0
"107","058400","KNN",2130,-85,-3.84,61,34.92,1479,1.44,20,0.94
"108","114450","KPX생명과학",9270,270,3,80,115.88,4024,2.3,0,0
"109","025000","KPX케미칼",65700,100,0.15,8571,7.67,96367,0.68,2500,3.81
"110","092230","KPX홀딩스",63000,0,0,8406,7.49,149477,0.42,2600,4.13
"111","000040","KR모터스",1375,-30,-2.14,NA,NA,318,4.32,0,0
"112","044450","KSS해운",10950,150,1.39,1034,10.59,12026,0.91,270,2.47
"113","030200","KT",27900,-50,-0.18,2526,11.05,52341,0.53,1100,3.94
"114","033780","KT&G",81200,200,0.25,8208,9.89,63008,1.29,4400,5.42
"115","030210","KTB투자증권",6340,280,4.62,681,9.31,8098,0.78,150,2.37
"116","036030","KTH",11950,250,2.14,40,298.75,5741,2.08,0,0
"117","058850","KTcs",2970,95,3.3,178,16.69,3715,0.8,80,2.69
"118","058860","KTis",2990,25,0.84,272,10.99,4835,0.62,90,3.01
"119","060370","KT서브마린",6140,-90,-1.44,24,255.83,4680,1.31,30,0.49
"120","093050","LF",18650,200,1.08,2313,8.06,41768,0.45,500,2.68
"121","003550","LG",91400,100,0.11,6143,14.88,107050,0.85,2200,2.41
"122","034220","LG디스플레이",25000,-600,-2.34,NA,NA,31694,0.79,0,0
"123","001120","LG상사",30400,-350,-1.14,739,41.14,30224,1.01,300,0.99
"124","051900","LG생활건강",1585000,36000,2.32,46431,34.14,234042,6.77,11000,0.69
"125","051905","LG생활건강우",684000,-3000,-0.44,NA,NA,NA,NA,11050,1.62
"126","003555","LG우",72800,-400,-0.55,NA,NA,NA,NA,2250,3.09
"127","032640","LG유플러스",12600,-100,-0.79,1005,12.54,16218,0.78,400,3.17
"128","011070","LG이노텍",209500,-4000,-1.87,4323,48.46,93151,2.25,300,0.14
"129","066570","LG전자",156500,-2000,-1.26,169,926.04,79245,1.97,750,0.48
"130","066575","LG전자우",73000,-1000,-1.35,NA,NA,NA,NA,800,1.1
"131","108670","LG하우시스",85700,1700,2.02,1154,74.26,91420,0.94,250,0.29
"132","108675","LG하우시스우",39050,1100,2.9,NA,NA,NA,NA,300,0.77
"133","037560","LG헬로비전",4900,15,0.31,NA,NA,12283,0.4,75,1.53
"134","051910","LG화학",810000,-1000,-0.12,4085,198.29,217230,3.73,2000,0.25
"135","051915","LG화학우",385500,-5500,-1.41,NA,NA,NA,NA,2050,0.53
"136","079550","LIG넥스원",41450,-650,-1.54,145,285.86,28817,1.44,600,1.45
"137","006260","LS",65700,500,0.77,912,72.04,98330,0.67,1450,2.21
"138","010120","LS ELECTRIC",61600,-400,-0.65,3542,17.39,45353,1.36,1200,1.95
"139","000680","LS네트웍스",2915,10,0.34,NA,NA,6590,0.44,0,0
"140","229640","LS전선아시아",7960,70,0.89,523,15.22,4591,1.73,180,2.26
"141","023150","MH에탄올",8890,-10,-0.11,NA,NA,7785,1.14,350,3.94
"142","065150","MP그룹",895,0,0,11,81.36,252,3.55,0,0
"143","219550","MP한강",916,-23,-2.45,NA,NA,536,1.71,0,0
"144","035420","NAVER",381500,-3000,-0.78,4006,95.23,35223,10.83,376,0.1
"145","160550","NEW",11700,0,0,NA,NA,3979,2.94,0,0
"146","053290","NE능률",23050,50,0.22,59,390.68,3886,5.93,0,0
"147","181710","NHN",73200,500,0.69,656,111.59,80696,0.91,0,0
"148","104200","NHN벅스",6570,40,0.61,341,19.27,4560,1.44,0,0
"149","060250","NHN한국사이버결제",51000,-400,-0.78,1040,49.04,5192,9.82,230,0.45
"150","005940","NH투자증권",12250,150,1.24,1585,7.73,17934,0.68,500,4.08
"151","005945","NH투자증권우",9980,30,0.3,NA,NA,NA,NA,550,5.51
"152","034310","NICE",17600,50,0.28,771,22.83,18100,0.97,230,1.31
"153","030190","NICE평가정보",24300,200,0.83,682,35.63,3692,6.58,230,0.95
"154","008260","NI스틸",4055,100,2.53,224,18.1,3877,1.05,50,1.23
"155","004250","NPC",4505,195,4.52,343,13.13,6745,0.67,100,2.22
"156","004255","NPC우",2435,30,1.25,NA,NA,NA,NA,105,4.31
"157","010060","OCI",124000,2500,2.06,NA,NA,110515,1.12,0,0
"158","078590","OQP",3890,0,0,NA,NA,442,8.8,0,0
"159","178920","PI첨단소재",45600,200,0.44,603,75.62,8557,5.33,315,0.69
"160","024940","PN풍년",6350,-30,-0.47,577,11.01,3828,1.66,25,0.39
"161","005490","POSCO",331500,2500,0.76,22823,14.52,510076,0.65,10000,3.02
"162","218410","RFHIC",38150,800,2.14,857,44.52,8351,4.57,200,0.52
"163","091340","S&K폴리텍",5370,20,0.37,1368,3.93,7586,0.71,0,0
"164","010950","S-Oil",79700,-400,-0.5,561,142.07,55715,1.43,200,0.25
"165","010955","S-Oil우",45000,-250,-0.55,NA,NA,NA,NA,225,0.5
"166","019550","SBI인베스트먼트",2155,-90,-4.01,71,30.35,583,3.7,0,0
"167","034120","SBS",22000,-50,-0.23,1114,19.75,31799,0.69,150,0.68
"168","101060","SBS미디어홀딩스",2075,20,0.97,NA,NA,4162,0.5,0,0
"169","046140","SBS콘텐츠허브",7050,-100,-1.4,26,271.15,7234,0.97,0,0
"170","036120","SCI평가정보",4525,70,1.57,141,32.09,610,7.42,69,1.52
"171","099220","SDN",3000,55,1.87,93,32.26,1642,1.83,0,0
"172","036540","SFA반도체",8160,40,0.49,146,55.89,2066,3.95,0,0
"173","255220","SG",2040,60,3.03,287,7.11,1924,1.06,0,0
"174","040610","SG&G",3105,125,4.19,49,63.37,7017,0.44,0,0
"175","049470","SGA",1110,20,1.83,NA,NA,577,1.92,0,0
"176","184230","SGA솔루션즈",1505,-40,-2.59,NA,NA,496,3.03,0,0
"177","005090","SGC에너지",40600,200,0.5,NA,NA,56341,0.72,1000,2.46
"178","016250","SGC이테크건설",55300,400,0.73,6410,8.63,91954,0.6,1500,2.71
"179","004060","SG세계물산",749,-2,-0.27,48,15.6,1012,0.74,0,0
"180","001380","SG충방",4350,-20,-0.46,17,255.88,2893,1.5,0,0
"181","002360","SH에너지화학",993,12,1.22,NA,NA,876,1.13,0,0
"182","009160","SIMPAC",3460,15,0.44,157,22.04,6743,0.51,60,1.73
"183","123700","SJM",4330,5,0.12,438,9.89,10621,0.41,125,2.89
"184","025530","SJM홀딩스",3825,-5,-0.13,363,10.54,10066,0.38,175,4.58
"185","034730","SK",279000,1000,0.36,12917,21.6,235255,1.19,5000,1.79
"186","307070","SK4호스팩",2050,0,0,NA,NA,NA,NA,0,0
"187","337450","SK5호스팩",2095,0,0,NA,NA,NA,NA,0,0
"188","340350","SK6호스팩",2070,-15,-0.72,NA,NA,NA,NA,0,0
"189","011790","SKC",133500,0,0,1686,79.18,41542,3.21,1000,0.75
"190","018670","SK가스",103500,1000,0.98,17794,5.82,180030,0.57,3000,2.9
"191","001740","SK네트웍스",5540,-30,-0.54,NA,NA,8713,0.64,120,2.17
"192","001745","SK네트웍스우",117000,0,0,NA,NA,NA,NA,145,0.12
"193","006120","SK디스커버리",58800,300,0.51,8846,6.65,82498,0.71,700,1.19
"194","006125","SK디스커버리우",42050,750,1.82,NA,NA,NA,NA,750,1.78
"195","210980","SK디앤디",36900,-50,-0.14,2365,15.6,19032,1.94,600,1.63
"196","068400","SK렌터카",10650,-50,-0.47,740,14.39,9639,1.1,0,0
"197","036490","SK머티리얼즈",327800,-3800,-1.15,13507,24.27,44730,7.33,3850,1.17
"198","302440","SK바이오사이언스",125500,11000,9.61,240,522.92,3803,33,0,0
"199","326030","SK바이오팜",105500,3000,2.93,NA,NA,NA,NA,0,0
"200","03473K","SK우",259000,0,0,NA,NA,NA,NA,5050,1.95
"201","096770","SK이노베이션",243500,11000,4.73,NA,NA,186398,1.31,3000,1.23
"202","096775","SK이노베이션우",179000,8500,4.99,NA,NA,NA,NA,3050,1.7
"203","001510","SK증권",1115,-25,-2.19,67,16.64,1197,0.93,10,0.9
"204","001515","SK증권우",5650,-120,-2.08,NA,NA,NA,NA,15,0.27
"205","285130","SK케미칼",255000,5000,2,802,317.96,54214,4.7,450,0.18
"206","28513K","SK케미칼우",112000,2500,2.28,NA,NA,NA,NA,500,0.45
"207","017670","SK텔레콤",280000,-1000,-0.36,12144,23.06,284310,0.98,10000,3.57
"208","000660","SK하이닉스",144000,500,0.35,2943,48.93,65836,2.19,1000,0.69
"209","048550","SM C&C",1900,50,2.7,40,47.5,1237,1.54,0,0
"210","063440","SM Life Design",3705,180,5.11,NA,NA,1084,3.42,0,0
