"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"1","095570","AJ네트웍스","KOSPI","서비스업",4010,-95,-2.31,187757402950
"2","006840","AK홀딩스","KOSPI","기타금융",28950,-150,-0.52,383516890950
"3","027410","BGF","KOSPI","기타금융",6890,-60,-0.86,659488689990
"4","282330","BGF리테일","KOSPI","유통업",170000,5000,3.03,2938264020000
"5","138930","BNK금융지주","KOSPI","기타금융",5510,-40,-0.72,1795903205460
"6","001460","BYC","KOSPI","섬유의복",287000,-11000,-3.69,179264505000
"7","001465","BYC우","KOSPI","섬유의복",139500,-8000,-5.42,30046207500
"8","001040","CJ","KOSPI","기타금융",94100,-3600,-3.68,2745555511800
"9","079160","CJ CGV","KOSPI","서비스업",26850,-1450,-5.12,9.42435e+11
"10","00104K","CJ4우(전환)","KOSPI","기타금융",73500,-3100,-4.05,310648632000
"11","000120","CJ대한통운","KOSPI","운수창고업",168000,-5500,-3.17,3832473792000
"12","011150","CJ씨푸드","KOSPI","음식료품",4545,-265,-5.51,163305363285
"13","011155","CJ씨푸드1우","KOSPI","음식료품",37850,-1050,-2.7,7.57e+09
"14","001045","CJ우","KOSPI","기타금융",60700,-1600,-2.57,137195536100
"15","097950","CJ제일제당","KOSPI","음식료품",426000,-24000,-5.33,6413083236000
"16","097955","CJ제일제당 우","KOSPI","음식료품",205000,-13000,-5.96,272123765000
"17","000590","CS홀딩스","KOSPI","기타금융",57100,-2200,-3.71,65920922200
"18","012030","DB","KOSPI","서비스업",856,-74,-7.96,172204886648
"19","016610","DB금융투자","KOSPI","증권",4760,-190,-3.84,202044811640
"20","005830","DB손해보험","KOSPI","보험",36800,-1050,-2.77,2.60544e+12
"21","000990","DB하이텍","KOSPI","전기전자",61500,-5400,-8.07,2730513162000
"22","000995","DB하이텍1우","KOSPI","전기전자",119000,-7500,-5.93,13365604000
"23","139130","DGB금융지주","KOSPI","기타금융",6370,-270,-4.07,1077458956210
"24","001530","DI동일","KOSPI","유통업",198000,-16000,-7.48,488190582000
"25","000210","DL","KOSPI","건설업",61000,-2900,-4.54,941916982000
"26","000215","DL우","KOSPI","건설업",37000,-1100,-2.89,62386255000
"27","375500","DL이앤씨","KOSPI","건설업",111500,-8500,-7.08,2158499287000
"28","37550K","DL이앤씨우","KOSPI","건설업",72300,-3600,-4.74,152833885500
"29","004840","DRB동일","KOSPI","기타금융",6940,-390,-5.32,138314200000
"30","155660","DSR","KOSPI","철강금속",5480,-170,-3.01,8.768e+10
"31","069730","DSR제강","KOSPI","철강금속",4710,-215,-4.37,6.7824e+10
"32","017940","E1","KOSPI","유통업",39100,-900,-2.25,2.68226e+11
"33","365550","ESR켄달스퀘어리츠","KOSPI","서비스업",5370,-210,-3.76,769300830000
"34","007700","F&F","KOSPI","섬유의복",102500,-500,-0.49,1.5785e+12
"35","114090","GKL","KOSPI","서비스업",15350,-400,-2.54,949484534500
"36","078930","GS","KOSPI","기타금융",36250,-700,-1.89,3368182452500
"37","006360","GS건설","KOSPI","건설업",38150,-1950,-4.86,3081938708450
"38","001250","GS글로벌","KOSPI","유통업",2445,-195,-7.39,201795052980
"39","007070","GS리테일","KOSPI","유통업",34700,-750,-2.12,2.6719e+12
"40","078935","GS우","KOSPI","기타금융",29150,-600,-2.02,52027677900
"41","012630","HDC","KOSPI","기타금융",10950,-450,-3.95,654171844950
"42","039570","HDC아이콘트롤스","KOSPI","건설업",10250,-650,-5.96,1.68715e+11
"43","089470","HDC현대EP","KOSPI","화학",6460,-410,-5.97,2.06074e+11
"44","294870","HDC현대산업개발","KOSPI","건설업",27350,-1700,-5.85,1802565475500
"45","011200","HMM","KOSPI","운수창고업",13650,-400,-2.85,4475862354600
"46","082740","HSD엔진","KOSPI","기계",7090,-390,-5.21,233595236780
"47","003560","IHQ","KOSPI","서비스업",1650,-35,-2.08,241288984200
"48","175330","JB금융지주","KOSPI","기타금융",5180,-220,-4.07,1020371390920
"49","234080","JW생명과학","KOSPI","의약품",21850,-1200,-5.21,345985004900
"50","001060","JW중외제약","KOSPI","의약품",30800,-550,-1.75,663429720800
"51","001067","JW중외제약2우B","KOSPI","의약품",54500,-200,-0.37,5070026000
"52","001065","JW중외제약우","KOSPI","의약품",34700,-1500,-4.14,6158764200
"53","096760","JW홀딩스","KOSPI","기타금융",5150,-160,-3.01,352472087300
"54","105560","KB금융","KOSPI","기타금융",40300,-800,-1.95,16757059176000
"55","002380","KCC","KOSPI","화학",198500,-7500,-3.64,1763964493500
"56","009070","KCTC","KOSPI","운수창고업",3920,-250,-6,1.176e+11
"57","009440","KC그린홀딩스","KOSPI","기타금융",5070,-350,-6.46,113745348600
"58","119650","KC코트렐","KOSPI","기계",10000,-700,-6.54,1.3e+11
"59","092220","KEC","KOSPI","전기전자",2790,-205,-6.84,325612362600
"60","016380","KG동부제철","KOSPI","철강금속",10600,-450,-4.07,1060094308200
"61","016385","KG동부제철우","KOSPI","철강금속",114000,0,0,6085890000
"62","001390","KG케미칼","KOSPI","화학",21800,-800,-3.54,283688457600
"63","001940","KISCO홀딩스","KOSPI","철강금속",14300,-150,-1.04,264212234000
"64","025000","KPX케미칼","KOSPI","화학",52000,-1900,-3.53,2.5168e+11
"65","092230","KPX홀딩스","KOSPI","화학",56200,-300,-0.53,237425105200
"66","000040","KR모터스","KOSPI","운수장비",898,-72,-7.42,86331356464
"67","044450","KSS해운","KOSPI","운수창고업",10750,-100,-0.92,249248210000
"68","030200","KT","KOSPI","통신업",23950,250,1.05,6253627801600
"69","033780","KT&G","KOSPI","기타제조업",80200,-1200,-1.47,11010858259400
"70","030210","KTB투자증권","KOSPI","증권",3440,-175,-4.84,207480476480
"71","058850","KTcs","KOSPI","서비스업",2250,-135,-5.66,96041250000
"72","058860","KTis","KOSPI","서비스업",2660,-130,-4.66,92573320000
"73","093050","LF","KOSPI","섬유의복",14400,-250,-1.71,4.21056e+11
"74","003550","LG","KOSPI","기타금융",99100,-4400,-4.25,17100411682100
"75","034220","LG디스플레이","KOSPI","전기전자",21750,-1250,-5.43,7782491475000
"76","001120","LG상사","KOSPI","유통업",26400,100,0.38,1.023264e+12
"77","051900","LG생활건강","KOSPI","화학",1557000,-32000,-2.01,24317532729000
"78","051905","LG생활건강우","KOSPI","화학",7e+05,-10000,-1.41,1469787900000
"79","003555","LG우","KOSPI","기타금융",71000,-3300,-4.44,235342067000
"80","032640","LG유플러스","KOSPI","통신업",11950,-200,-1.65,5217505763950
"81","011070","LG이노텍","KOSPI","전기전자",2e+05,-9500,-4.53,4733421400000
"82","066570","LG전자","KOSPI","전기전자",153000,-11500,-6.99,25038115542000
"83","066575","LG전자우","KOSPI","전기전자",78900,-4900,-5.85,1355974768800
"84","108670","LG하우시스","KOSPI","화학",76700,-3400,-4.24,687820289000
"85","108675","LG하우시스우","KOSPI","화학",35700,-1850,-4.93,36854181000
"86","037560","LG헬로비전","KOSPI","서비스업",4405,-160,-3.5,341153440325
"87","051910","LG화학","KOSPI","화학",917000,-21000,-2.24,64733178531000
"88","051915","LG화학우","KOSPI","화학",467500,-19000,-3.91,3.594514e+12
"89","079550","LIG넥스원","KOSPI","기계",37150,-400,-1.07,8.173e+11
"90","006260","LS","KOSPI","기타금융",64400,-2600,-3.88,2.07368e+12
